bioproject	run_accession	species	strain	condition	sample_id	role	experiment_accession	biosample	library_layout	platform	sequencer_model	comparison_group	fastq_1	fastq_2
PRJNA1402157	SRR36805042	Bacillus_velezensis	HR6-1	control	Control1	core	SRX31791150	SAMN54582502	PAIRED	ILLUMINA	Illumina NovaSeq 6000	velezensis_control_vs_salt	raw_data/fastq/SRR36805042_1.fastq.gz	raw_data/fastq/SRR36805042_2.fastq.gz
PRJNA1402157	SRR36805041	Bacillus_velezensis	HR6-1	control	Control2	core	SRX31791151	SAMN54582503	PAIRED	ILLUMINA	Illumina NovaSeq 6000	velezensis_control_vs_salt	raw_data/fastq/SRR36805041_1.fastq.gz	raw_data/fastq/SRR36805041_2.fastq.gz
PRJNA1402157	SRR36805040	Bacillus_velezensis	HR6-1	control	Control3	core	SRX31791152	SAMN54582504	PAIRED	ILLUMINA	Illumina NovaSeq 6000	velezensis_control_vs_salt	raw_data/fastq/SRR36805040_1.fastq.gz	raw_data/fastq/SRR36805040_2.fastq.gz
PRJNA1402157	SRR36805039	Bacillus_velezensis	HR6-1	salt	Salt1	core	SRX31791153	SAMN54582505	PAIRED	ILLUMINA	Illumina NovaSeq 6000	velezensis_control_vs_salt	raw_data/fastq/SRR36805039_1.fastq.gz	raw_data/fastq/SRR36805039_2.fastq.gz
PRJNA1402157	SRR36805038	Bacillus_velezensis	HR6-1	salt	Salt2	core	SRX31791154	SAMN54582506	PAIRED	ILLUMINA	Illumina NovaSeq 6000	velezensis_control_vs_salt	raw_data/fastq/SRR36805038_1.fastq.gz	raw_data/fastq/SRR36805038_2.fastq.gz
PRJNA1402157	SRR36805037	Bacillus_velezensis	HR6-1	salt	Salt3	core	SRX31791155	SAMN54582507	PAIRED	ILLUMINA	Illumina NovaSeq 6000	velezensis_control_vs_salt	raw_data/fastq/SRR36805037_1.fastq.gz	raw_data/fastq/SRR36805037_2.fastq.gz
PRJNA1109437	SRR28973049	Bacillus_paralicheniformis	BL-1	salt	S1	core	SRX24502513	SAMN41271753	PAIRED	ILLUMINA	Illumina NovaSeq 6000	paralicheniformis_control_vs_salt	raw_data/fastq/SRR28973049_1.fastq.gz	raw_data/fastq/SRR28973049_2.fastq.gz
PRJNA1109437	SRR28973048	Bacillus_paralicheniformis	BL-1	salt	S2	core	SRX24502514	SAMN41271753	PAIRED	ILLUMINA	Illumina NovaSeq 6000	paralicheniformis_control_vs_salt	raw_data/fastq/SRR28973048_1.fastq.gz	raw_data/fastq/SRR28973048_2.fastq.gz
PRJNA1109437	SRR28973047	Bacillus_paralicheniformis	BL-1	salt	S3	core	SRX24502515	SAMN41271753	PAIRED	ILLUMINA	Illumina NovaSeq 6000	paralicheniformis_control_vs_salt	raw_data/fastq/SRR28973047_1.fastq.gz	raw_data/fastq/SRR28973047_2.fastq.gz
PRJNA1109437	SRR28973052	Bacillus_paralicheniformis	BL-1	control	NS1	core	SRX24502510	SAMN41271753	PAIRED	ILLUMINA	Illumina NovaSeq 6000	paralicheniformis_control_vs_salt	raw_data/fastq/SRR28973052_1.fastq.gz	raw_data/fastq/SRR28973052_2.fastq.gz
PRJNA1109437	SRR28973051	Bacillus_paralicheniformis	BL-1	control	NS2	core	SRX24502511	SAMN41271753	PAIRED	ILLUMINA	Illumina NovaSeq 6000	paralicheniformis_control_vs_salt	raw_data/fastq/SRR28973051_1.fastq.gz	raw_data/fastq/SRR28973051_2.fastq.gz
PRJNA1109437	SRR28973050	Bacillus_paralicheniformis	BL-1	control	NS3	core	SRX24502512	SAMN41271753	PAIRED	ILLUMINA	Illumina NovaSeq 6000	paralicheniformis_control_vs_salt	raw_data/fastq/SRR28973050_1.fastq.gz	raw_data/fastq/SRR28973050_2.fastq.gz
PRJNA252753	SRR1565402	Bacillus_licheniformis	WX-02	control	normal	core_limited	SRX692527	SAMN02861663	PAIRED	ILLUMINA	Illumina HiSeq 2000	licheniformis_control_vs_salt	raw_data/fastq/SRR1565402_1.fastq.gz	raw_data/fastq/SRR1565402_2.fastq.gz
PRJNA252753	SRR1565404	Bacillus_licheniformis	WX-02	salt	NaCl_6_percent	core_limited	SRX692528	SAMN02861664	PAIRED	ILLUMINA	Illumina HiSeq 2000	licheniformis_control_vs_salt	raw_data/fastq/SRR1565404_1.fastq.gz	raw_data/fastq/SRR1565404_2.fastq.gz
PRJNA321031	SRR3488624	Bacillus_subtilis	168	salt	salt_T30_rep1	complementary	SRX1750662	SAMN04962900	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488624_1.fastq.gz	raw_data/fastq/SRR3488624_2.fastq.gz
PRJNA321031	SRR3488629	Bacillus_subtilis	168	salt	salt_T30_rep2	complementary	SRX1750667	SAMN04962905	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488629_1.fastq.gz	raw_data/fastq/SRR3488629_2.fastq.gz
PRJNA321031	SRR3488625	Bacillus_subtilis	168	salt	salt_T60_rep1	complementary	SRX1750663	SAMN04962901	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488625_1.fastq.gz	raw_data/fastq/SRR3488625_2.fastq.gz
PRJNA321031	SRR3488634	Bacillus_subtilis	168	salt	salt_T60_rep2	complementary	SRX1750672	SAMN04962910	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488634_1.fastq.gz	raw_data/fastq/SRR3488634_2.fastq.gz
PRJNA321031	SRR3488626	Bacillus_subtilis	168	salt	salt_T90_rep1	complementary	SRX1750664	SAMN04962902	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488626_1.fastq.gz	raw_data/fastq/SRR3488626_2.fastq.gz
PRJNA321031	SRR3488635	Bacillus_subtilis	168	salt	salt_T90_rep2	complementary	SRX1750673	SAMN04962911	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488635_1.fastq.gz	raw_data/fastq/SRR3488635_2.fastq.gz
PRJNA321031	SRR3488628	Bacillus_subtilis	168	control	nosalt_T30_rep1	complementary	SRX1750666	SAMN04962904	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488628_1.fastq.gz	raw_data/fastq/SRR3488628_2.fastq.gz
PRJNA321031	SRR3488631	Bacillus_subtilis	168	control	nosalt_T30_rep2	complementary	SRX1750669	SAMN04962907	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488631_1.fastq.gz	raw_data/fastq/SRR3488631_2.fastq.gz
PRJNA321031	SRR3488630	Bacillus_subtilis	168	control	nosalt_T60_rep1	complementary	SRX1750668	SAMN04962906	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488630_1.fastq.gz	raw_data/fastq/SRR3488630_2.fastq.gz
PRJNA321031	SRR3488632	Bacillus_subtilis	168	control	nosalt_T60_rep2	complementary	SRX1750670	SAMN04962908	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488632_1.fastq.gz	raw_data/fastq/SRR3488632_2.fastq.gz
PRJNA321031	SRR3488633	Bacillus_subtilis	168	control	nosalt_T90_rep1	complementary	SRX1750671	SAMN04962909	SINGLE	ION_TORRENT	Ion Torrent Proton	subtilis_timecourse	raw_data/fastq/SRR3488633_1.fastq.gz	raw_data/fastq/SRR3488633_2.fastq.gz
