BioProject	SRAStudy	ScientificName	LibraryLayout	Platform	Model	n_runs	total_size_MB	first_release	last_release	runs
PRJNA675787	SRP291968	Bacillus amyloliquefaciens	PAIRED	ILLUMINA	Illumina HiSeq 2500	8	16866	2021-05-05 17:55:15	2021-05-05 17:55:15	SRR13016532,SRR13016533,SRR13016534,SRR13016535,SRR13016529,SRR13016526,SRR13016527,SRR13016528
PRJNA153455	SRP011481	Bacillus anthracis	SINGLE	ABI_SOLID	AB SOLiD System 3.0	4	5790	2012-03-21 09:52:12	2012-03-21 09:52:12	SRR445258,SRR445259,SRR445260,SRR445261
PRJNA1020916	SRP463106	Bacillus cereus	SINGLE	ILLUMINA	Illumina HiSeq 2000	1	0	2023-09-25 22:12:08	2023-09-25 22:12:08	SRR26171781
PRJNA1399653	SRP661253	Bacillus cereus	PAIRED	ILLUMINA	Illumina HiSeq 2500	4	12252	2026-04-30 01:26:19	2026-04-30 01:26:19	SRR36768626,SRR36768627,SRR36768628,SRR36768625
PRJNA252753	SRP045205	Bacillus licheniformis	PAIRED	ILLUMINA	Illumina HiSeq 2000	2	1559	2015-07-22 17:11:50	2015-07-22 17:11:50	SRR1565402,SRR1565404
PRJNA1109437	SRP506601	Bacillus paralicheniformis	PAIRED	ILLUMINA	Illumina NovaSeq 6000	6	9099	2025-06-30 03:22:51	2025-06-30 03:22:51	SRR28973048,SRR28973049,SRR28973050,SRR28973051,SRR28973047,SRR28973052
PRJNA1029469	SRP466976	Bacillus pumilus	PAIRED	ILLUMINA	Illumina NovaSeq X	3	2104	2023-10-18 08:55:48	2023-10-18 08:55:48	SRR26417826,SRR26417827,SRR26417825
PRJNA1099918	SRP501623	Bacillus sp. (in: firmicutes)	PAIRED	ILLUMINA	Illumina HiSeq 4000	4	9620	2024-04-20 01:32:57	2024-04-20 01:32:57	SRR28674032,SRR28674033,SRR28674034,SRR28674031
PRJNA1125635	SRP514795	Bacillus sp. (in: firmicutes)	PAIRED	ILLUMINA	Illumina NovaSeq 6000	6	4081	2024-06-19 04:03:34	2024-06-19 04:03:34	SRR29462516,SRR29462521,SRR29462520,SRR29462519,SRR29462518,SRR29462517
PRJNA194121	SRP022234	Bacillus subtilis	SINGLE	ABI_SOLID	AB SOLiD 4 System	1	412	2013-10-18 00:00:00	2013-10-18 00:00:00	SRR922378
PRJNA431298	SRP131158	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	3	5853	2020-11-02 17:43:06	2020-11-02 17:43:06	SRR6504026,SRR6504027,SRR6504029
PRJNA928739	SRP420082	Bacillus subtilis	SINGLE	ABI_SOLID	AB 5500 Genetic Analyzer	1	0	2023-01-31 02:11:31	2023-01-31 02:11:31	SRR23274457
PRJNA511580	SRP174365	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10	PAIRED	ILLUMINA	Illumina HiSeq 2000	4	8046	2019-11-01 16:16:19	2019-11-01 16:16:19	SRR8366689,SRR8366690,SRR8366691,SRR8366692
PRJNA511580	SRP174365	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10	PAIRED	ILLUMINA	NextSeq 550	8	20448	2020-03-25 17:13:58	2020-03-25 17:13:59	SRR10677709,SRR10677710,SRR10677704,SRR10677705,SRR10677706,SRR10677707,SRR10677708,SRR10677703
PRJNA1425010	SRP677812	Bacillus subtilis subsp. subtilis str. 168	PAIRED	ILLUMINA	Illumina NovaSeq X Plus	12	23305	2026-02-18 00:07:43	2026-02-18 00:07:43	SRR37266346,SRR37266345,SRR37266344,SRR37266343,SRR37266342,SRR37266348,SRR37266349,SRR37266350,SRR37266351,SRR37266347,SRR37266353,SRR37266352
PRJNA321031	SRP074602	Bacillus subtilis subsp. subtilis str. 168	SINGLE	ION_TORRENT	Ion Torrent Proton	12	12375	2016-05-11 15:47:24	2016-05-11 15:47:24	SRR3488634,SRR3488635,SRR3488629,SRR3488630,SRR3488631,SRR3488632,SRR3488633,SRR3488622,SRR3488624,SRR3488625,SRR3488626,SRR3488628
PRJNA386487	SRP106999	Bacillus subtilis subsp. subtilis str. 168	SINGLE	ILLUMINA	Illumina MiSeq	5	1196	2017-11-15 17:28:14	2017-11-15 17:28:15	SRR5535070,SRR5535071,SRR5535068,SRR5535069,SRR5535067
PRJNA744162	SRP327149	Bacillus subtilis subsp. subtilis str. 168	PAIRED	ILLUMINA	Illumina NovaSeq 6000	12	16797	2021-10-24 12:44:48	2021-10-24 12:44:48	SRR15049602,SRR15049601,SRR15049596,SRR15049597,SRR15049598,SRR15049599,SRR15049600,SRR15049591,SRR15049592,SRR15049593,SRR15049594,SRR15049595
PRJNA854068	SRP384171	Bacillus subtilis subsp. subtilis str. 168	SINGLE	ILLUMINA	NextSeq 550	3	521	2022-07-02 00:12:36	2022-07-02 00:12:36	SRR19897609,SRR19897610,SRR19897608
PRJNA1402157	SRP661820	Bacillus velezensis	PAIRED	ILLUMINA	Illumina NovaSeq 6000	3	1887	2026-01-13 09:01:10	2026-01-13 09:02:57	SRR36805039,SRR36805038,SRR36805037
