BioProject	SRAStudy	ScientificName	n_runs	runs	experiments	biosamples	platform	model	layout	total_size_MB	decision	reason
PRJNA675787	SRP291968	Bacillus amyloliquefaciens	8	SRR13016532,SRR13016533,SRR13016534,SRR13016535,SRR13016529,SRR13016526,SRR13016527,SRR13016528	SRX9467482,SRX9467483,SRX9467484,SRX9467485,SRX9467479,SRX9467476,SRX9467477,SRX9467478	SAMN16722302,SAMN16722327,SAMN16722326,SAMN16722325,SAMN16722305,SAMN16722308,SAMN16722307,SAMN16722306	ILLUMINA	Illumina HiSeq 2500	PAIRED	16866	pending	
PRJNA252753	SRP045205	Bacillus licheniformis	2	SRR1565402,SRR1565404	SRX692527,SRX692528	SAMN02861663,SAMN02861664	ILLUMINA	Illumina HiSeq 2000	PAIRED	1559	pending	
PRJNA1109437	SRP506601	Bacillus paralicheniformis	6	SRR28973048,SRR28973049,SRR28973050,SRR28973051,SRR28973047,SRR28973052	SRX24502514,SRX24502513,SRX24502512,SRX24502511,SRX24502515,SRX24502510	SAMN41271753	ILLUMINA	Illumina NovaSeq 6000	PAIRED	9099	pending	
PRJNA1029469	SRP466976	Bacillus pumilus	3	SRR26417826,SRR26417827,SRR26417825	SRX22123148,SRX22123147,SRX22123149	SAMN37868437,SAMN37868436,SAMN37868438	ILLUMINA	Illumina NovaSeq X	PAIRED	2104	pending	
PRJNA194121	SRP022234	Bacillus subtilis	1	SRR922378	SRX315320	SAMN02214110	ABI_SOLID	AB SOLiD 4 System	SINGLE	412	pending	
PRJNA431298	SRP131158	Bacillus subtilis	3	SRR6504026,SRR6504027,SRR6504029	SRX3592650,SRX3592651,SRX3592652	SAMN08386713,SAMN08386712,SAMN08386711	ILLUMINA	Illumina HiSeq 2500	PAIRED	5853	pending	
PRJNA928739	SRP420082	Bacillus subtilis	1	SRR23274457	SRX19217933	SAMN32941463	ABI_SOLID	AB 5500 Genetic Analyzer	SINGLE	0	pending	
PRJNA511580	SRP174365	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10	12	SRR10677709,SRR10677710,SRR10677704,SRR10677705,SRR10677706,SRR10677707,SRR10677708,SRR8366689,SRR8366690,SRR8366691,SRR8366692,SRR10677703	SRX7354737,SRX7354738,SRX7354732,SRX7354733,SRX7354734,SRX7354735,SRX7354736,SRX5177009,SRX5177010,SRX5177011,SRX5177012,SRX7354731	SAMN13549496,SAMN13549495,SAMN13549501,SAMN13549500,SAMN13549499,SAMN13549498,SAMN13549497,SAMN10640312,SAMN10640311,SAMN10640310,SAMN10640309,SAMN13549502	ILLUMINA	NextSeq 550,Illumina HiSeq 2000	PAIRED	28494	pending	
PRJNA1425010	SRP677812	Bacillus subtilis subsp. subtilis str. 168	12	SRR37266346,SRR37266345,SRR37266344,SRR37266343,SRR37266342,SRR37266348,SRR37266349,SRR37266350,SRR37266351,SRR37266347,SRR37266353,SRR37266352	SRX32200167,SRX32200168,SRX32200169,SRX32200170,SRX32200171,SRX32200165,SRX32200164,SRX32200163,SRX32200162,SRX32200166,SRX32200160,SRX32200161	SAMN55405050,SAMN55405049,SAMN55405048,SAMN55405047,SAMN55405046,SAMN55405052,SAMN55405053,SAMN55405054,SAMN55405055,SAMN55405051,SAMN55405057,SAMN55405056	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	23305	pending	
PRJNA321031	SRP074602	Bacillus subtilis subsp. subtilis str. 168	12	SRR3488634,SRR3488635,SRR3488629,SRR3488630,SRR3488631,SRR3488632,SRR3488633,SRR3488622,SRR3488624,SRR3488625,SRR3488626,SRR3488628	SRX1750672,SRX1750673,SRX1750667,SRX1750668,SRX1750669,SRX1750670,SRX1750671,SRX1750660,SRX1750662,SRX1750663,SRX1750664,SRX1750666	SAMN04962910,SAMN04962911,SAMN04962905,SAMN04962906,SAMN04962907,SAMN04962908,SAMN04962909,SAMN04962898,SAMN04962900,SAMN04962901,SAMN04962902,SAMN04962904	ION_TORRENT	Ion Torrent Proton	SINGLE	12375	pending	
PRJNA386487	SRP106999	Bacillus subtilis subsp. subtilis str. 168	5	SRR5535070,SRR5535071,SRR5535068,SRR5535069,SRR5535067	SRX2804668,SRX2804669,SRX2804666,SRX2804667,SRX2804665	SAMN06958551,SAMN06958557,SAMN06958553,SAMN06958552,SAMN06958554	ILLUMINA	Illumina MiSeq	SINGLE	1196	pending	
PRJNA744162	SRP327149	Bacillus subtilis subsp. subtilis str. 168	12	SRR15049602,SRR15049601,SRR15049596,SRR15049597,SRR15049598,SRR15049599,SRR15049600,SRR15049591,SRR15049592,SRR15049593,SRR15049594,SRR15049595	SRX11360073,SRX11360072,SRX11360067,SRX11360068,SRX11360069,SRX11360070,SRX11360071,SRX11360062,SRX11360063,SRX11360064,SRX11360065,SRX11360066	SAMN20080050,SAMN20080051,SAMN20080056,SAMN20080055,SAMN20080054,SAMN20080053,SAMN20080052,SAMN20080030,SAMN20080029,SAMN20080028,SAMN20080027,SAMN20080057	ILLUMINA	Illumina NovaSeq 6000	PAIRED	16797	pending	
PRJNA854068	SRP384171	Bacillus subtilis subsp. subtilis str. 168	3	SRR19897609,SRR19897610,SRR19897608	SRX15940578,SRX15940577,SRX15940579	SAMN29417797,SAMN29417798,SAMN29417796	ILLUMINA	NextSeq 550	SINGLE	521	pending	
PRJNA1402157	SRP661820	Bacillus velezensis	3	SRR36805039,SRR36805038,SRR36805037	SRX31791153,SRX31791154,SRX31791155	SAMN54582505,SAMN54582506,SAMN54582507	ILLUMINA	Illumina NovaSeq 6000	PAIRED	1887	pending	
