BioProject	ScientificName	Run	Experiment	Sample	BioSample	LibraryLayout	Model
PRJNA1402157	Bacillus velezensis	SRR36805039	SRX31791153	SRS27750895	SAMN54582505	PAIRED	Illumina NovaSeq 6000
PRJNA1402157	Bacillus velezensis	SRR36805038	SRX31791154	SRS27750897	SAMN54582506	PAIRED	Illumina NovaSeq 6000
PRJNA1402157	Bacillus velezensis	SRR36805037	SRX31791155	SRS27750896	SAMN54582507	PAIRED	Illumina NovaSeq 6000
PRJNA1109437	Bacillus paralicheniformis	SRR28973048	SRX24502514	SRS21251160	SAMN41271753	PAIRED	Illumina NovaSeq 6000
PRJNA1109437	Bacillus paralicheniformis	SRR28973049	SRX24502513	SRS21251160	SAMN41271753	PAIRED	Illumina NovaSeq 6000
PRJNA1109437	Bacillus paralicheniformis	SRR28973050	SRX24502512	SRS21251160	SAMN41271753	PAIRED	Illumina NovaSeq 6000
PRJNA1109437	Bacillus paralicheniformis	SRR28973051	SRX24502511	SRS21251160	SAMN41271753	PAIRED	Illumina NovaSeq 6000
PRJNA1109437	Bacillus paralicheniformis	SRR28973047	SRX24502515	SRS21251160	SAMN41271753	PAIRED	Illumina NovaSeq 6000
PRJNA1109437	Bacillus paralicheniformis	SRR28973052	SRX24502510	SRS21251160	SAMN41271753	PAIRED	Illumina NovaSeq 6000
PRJNA854068	Bacillus subtilis subsp. subtilis str. 168	SRR19897609	SRX15940578	SRS13627604	SAMN29417797	SINGLE	NextSeq 550
PRJNA854068	Bacillus subtilis subsp. subtilis str. 168	SRR19897610	SRX15940577	SRS13627603	SAMN29417798	SINGLE	NextSeq 550
PRJNA854068	Bacillus subtilis subsp. subtilis str. 168	SRR19897608	SRX15940579	SRS13627605	SAMN29417796	SINGLE	NextSeq 550
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488634	SRX1750672	SRS1428461	SAMN04962910	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488635	SRX1750673	SRS1428462	SAMN04962911	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488629	SRX1750667	SRS1428456	SAMN04962905	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488630	SRX1750668	SRS1428457	SAMN04962906	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488631	SRX1750669	SRS1428458	SAMN04962907	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488632	SRX1750670	SRS1428459	SAMN04962908	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488633	SRX1750671	SRS1428460	SAMN04962909	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488622	SRX1750660	SRS1428449	SAMN04962898	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488624	SRX1750662	SRS1428450	SAMN04962900	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488625	SRX1750663	SRS1428453	SAMN04962901	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488626	SRX1750664	SRS1428452	SAMN04962902	SINGLE	Ion Torrent Proton
PRJNA321031	Bacillus subtilis subsp. subtilis str. 168	SRR3488628	SRX1750666	SRS1428455	SAMN04962904	SINGLE	Ion Torrent Proton
PRJNA252753	Bacillus licheniformis	SRR1565402	SRX692527	SRS672926	SAMN02861663	PAIRED	Illumina HiSeq 2000
PRJNA252753	Bacillus licheniformis	SRR1565404	SRX692528	SRS672927	SAMN02861664	PAIRED	Illumina HiSeq 2000
