BioProject	SRAStudy	ScientificName	n_runs	runs	library_layout	platform	model	search_files
PRJNA252753	SRP045205	Bacillus licheniformis	2	SRR1565404,SRR1565402	PAIRED	ILLUMINA	Illumina HiSeq 2000	Bacillus_transcriptome_NaCl.csv
PRJNA852506	SRP383572	Bacillus paranthracis	1	SRR19850892	PAIRED	ILLUMINA	Illumina MiSeq	Bacillus_salinity_transcriptome.csv
PRJNA1099918	SRP501623	Bacillus sp. (in: firmicutes)	4	SRR28674031,SRR28674032,SRR28674034,SRR28674033	PAIRED	ILLUMINA	Illumina HiSeq 4000	Bacillus_RNA-Seq_salt_stress.csv
PRJNA194121	SRP022234	Bacillus subtilis	1	SRR922378	SINGLE	ABI_SOLID	AB SOLiD 4 System	Bacillus_transcriptome_NaCl.csv
PRJNA431298	SRP131158	Bacillus subtilis	3	SRR6504026,SRR6504027,SRR6504029	PAIRED	ILLUMINA	Illumina HiSeq 2500	Bacillus_transcriptome_NaCl.csv
PRJNA511580	SRP174365	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10	12	SRR10677708,SRR10677709,SRR10677710,SRR10677703,SRR10677704,SRR10677705,SRR10677706,SRR10677707,SRR8366689,SRR8366690,SRR8366691,SRR8366692	PAIRED	ILLUMINA	Illumina HiSeq 2000,NextSeq 550	Bacillus_transcriptome_NaCl.csv
PRJNA1425010	SRP677812	Bacillus subtilis subsp. subtilis str. 168	12	SRR37266342,SRR37266343,SRR37266344,SRR37266345,SRR37266346,SRR37266351,SRR37266350,SRR37266349,SRR37266348,SRR37266347,SRR37266352,SRR37266353	PAIRED	ILLUMINA	Illumina NovaSeq X Plus	Bacillus_transcriptome_NaCl.csv
PRJNA321031	SRP074602	Bacillus subtilis subsp. subtilis str. 168	12	SRR3488635,SRR3488630,SRR3488631,SRR3488632,SRR3488633,SRR3488634,SRR3488624,SRR3488625,SRR3488626,SRR3488628,SRR3488629,SRR3488622	SINGLE	ION_TORRENT	Ion Torrent Proton	Bacillus_RNA-Seq_salt_stress.csv
PRJNA744162	SRP327149	Bacillus subtilis subsp. subtilis str. 168	12	SRR15049599,SRR15049600,SRR15049601,SRR15049602,SRR15049594,SRR15049595,SRR15049596,SRR15049597,SRR15049598,SRR15049591,SRR15049592,SRR15049593	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Bacillus_transcriptome_NaCl.csv
PRJNA854068	SRP384171	Bacillus subtilis subsp. subtilis str. 168	3	SRR19897608,SRR19897609,SRR19897610	SINGLE	ILLUMINA	NextSeq 550	Bacillus_osmotic_stress_RNA-seq.csv
PRJNA1392502	SRP657318	Caenorhabditis elegans	3	SRR36562743,SRR36562744,SRR36562742	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Bacillus_transcriptome_NaCl.csv
PRJNA983807	SRP443901	Caenorhabditis elegans	2	SRR24923838,SRR24923839	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Bacillus_transcriptome_NaCl.csv
PRJEB8091	ERP009128	Coprinopsis cinerea	18	ERR712436,ERR712430,ERR712427,ERR712429,ERR712432,ERR712437,ERR712423,ERR712420,ERR712424,ERR712426,ERR712433,ERR712434,ERR712421,ERR712422,ERR712428,ERR712431,ERR712435,ERR712425	PAIRED	ILLUMINA	Illumina HiSeq 2000	Bacillus_transcriptome_NaCl.csv
PRJNA1148965	SRP526857	Danio rerio	2	SRR30274407,SRR30274406	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Bacillus_transcriptome_NaCl.csv
PRJNA1228616	SRP566623	Danio rerio	4	SRR32505401,SRR32505402,SRR32505403,SRR32505400	PAIRED	ILLUMINA	Illumina HiSeq 2000	Bacillus_transcriptome_NaCl.csv
PRJEB8275	ERP009333	Mycobacterium tuberculosis H37Rv	1	ERR738423	SINGLE	ILLUMINA	Illumina HiSeq 2000	Bacillus_transcriptome_NaCl.csv
PRJNA1074718	SRP488962	Pinus densiflora	15	SRR27918805,SRR27918810,SRR27918809,SRR27918808,SRR27918807,SRR27918806,SRR27918811,SRR27918812,SRR27918813,SRR27918814,SRR27918815,SRR27918816,SRR27918817,SRR27918818,SRR27918819	PAIRED	ILLUMINA	Illumina HiSeq 4000	Bacillus_transcriptome_NaCl.csv
PRJNA715313	SRP313189	Rossellomorea marisflavi	4	SRR14133451,SRR14133450,SRR14133453,SRR14133452	PAIRED	ILLUMINA	HiSeq X Ten	Bacillus_transcriptome_NaCl.csv
PRJNA1402064	SRP663092	Solanum lycopersicum	3	SRR36862695,SRR36862696,SRR36862697	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Bacillus_RNA-Seq_salt_stress.csv
PRJEB20496	ERP022653	Staphylococcus aureus subsp. aureus USA300	6	ERR1941975,ERR1941976,ERR1941977,ERR1941978,ERR1941974,ERR1941973	PAIRED	ILLUMINA	Illumina MiSeq	Bacillus_transcriptome_NaCl.csv
PRJNA804578	SRP358975	Triticum aestivum	12	SRR17951558,SRR17951560,SRR17951559,SRR17951565,SRR17951564,SRR17951563,SRR17951562,SRR17951561,SRR17951566,SRR17951567,SRR17951568,SRR17951569	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Bacillus_RNA-Seq_salt_stress.csv
