Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR28674031,2024-04-20 01:32:57,2024-04-14 15:53:16,11490310,3470073620,11490310,302,2412,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR028/28674/SRR28674031/SRR28674031.lite.1,SRX24242357,GSM8207482,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP501623,PRJNA1099918,,1099918,SRS21010543,SAMN40951416,simple,1409,Bacillus sp. (in: firmicutes),GSM8207482,,,,,,,no,,,,,JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,SRA1845199,,public,EDB24074C6691E0F1832D565249DD5C1,CE871DF74F5C919288B0DB45795C574B
SRR28674032,2024-04-20 01:32:57,2024-04-14 15:51:11,11112081,3355848462,11112081,302,2383,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR028/28674/SRR28674032/SRR28674032.lite.1,SRX24242356,GSM8207481,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP501623,PRJNA1099918,,1099918,SRS21010542,SAMN40951417,simple,1409,Bacillus sp. (in: firmicutes),GSM8207481,,,,,,,no,,,,,JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,SRA1845199,,public,20BF7C9D14F00675481E0060F4004691,A1E137A833674548B36A4D76B56C98C6
SRR36862695,2026-01-15 21:22:12,2026-01-15 21:06:53,22899372,6836047090,22899372,298,1999,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR036/36862/SRR36862695/SRR36862695.lite.1,SRX31835218,HRCK3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP663092,PRJNA1402064,,1402064,SRS27792423,SAMN54579055,simple,4081,Solanum lycopersicum,HRCK3,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2316799,,public,4CDDBE76C24641E83B1F13FFCB8B5565,745C7C9B221867698929C31E9A1A94A9
SRR36862696,2026-01-15 21:22:12,2026-01-15 21:07:08,24288999,7255386227,24288999,298,2140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR036/36862/SRR36862696/SRR36862696.lite.1,SRX31835217,HRCK2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP663092,PRJNA1402064,,1402064,SRS27792422,SAMN54579054,simple,4081,Solanum lycopersicum,HRCK2,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2316799,,public,E977D16EEC6C3D88861DB3C49DD5FDD7,7FA6DA0C14F06AECA13FFDF7B34D8CD8
SRR36862697,2026-01-15 21:22:13,2026-01-15 21:07:19,24185925,7229463416,24185925,298,2112,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR036/36862/SRR36862697/SRR36862697.lite.1,SRX31835216,HRCK1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP663092,PRJNA1402064,,1402064,SRS27792421,SAMN54579053,simple,4081,Solanum lycopersicum,HRCK1,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2316799,,public,244BE9D6BB22B0CBC230080D38490C4A,6F7C4C25DB0214C0B42A5CF5B17D069F
SRR17951558,2022-02-08 20:39:12,2022-02-08 19:47:37,32469117,9805673334,32469117,302,2933,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR017/17951/SRR17951558/SRR17951558.lite.1,SRX14108426,NaW1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP358975,PRJNA804578,,804578,SRS11930659,SAMN25760029,simple,4565,Triticum aestivum,NaW1,,,,,,,no,,,,,ZHOUKOU NORMAL UNIVERSITY,SRA1368929,,public,23E201BA650108B5B77F6B75EFB408A5,7B94A0286E1F87032EB04B14ADE3B4B9
SRR17951560,2022-02-08 20:39:12,2022-02-08 19:47:05,32433133,9794806166,32433133,302,2951,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17951/SRR17951560/SRR17951560.lite.1,SRX14108424,W2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP358975,PRJNA804578,,804578,SRS11930658,SAMN25760027,simple,4565,Triticum aestivum,W2,,,,,,,no,,,,,ZHOUKOU NORMAL UNIVERSITY,SRA1368929,,public,72A75AB792E179BD9BC25FEB6C36FF02,5FDCB86879925AC094EB0C1370D2F2B1
SRR17951559,2022-02-08 20:00:21,2022-02-08 19:49:55,32563438,9834158276,32563438,302,2930,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17951/SRR17951559/SRR17951559.lite.1,SRX14108425,W3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP358975,PRJNA804578,,804578,SRS11930657,SAMN25760028,simple,4565,Triticum aestivum,W3,,,,,,,no,,,,,ZHOUKOU NORMAL UNIVERSITY,SRA1368929,,public,5912B1BC3518D5C99FEF66E5AE998976,20A5788E5A90109522ECADBA8B573890
SRR28674034,2024-04-20 01:32:57,2024-04-14 15:54:52,12183102,3679296804,12183102,302,2660,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR028/28674/SRR28674034/SRR28674034.lite.1,SRX24242354,GSM8207479,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP501623,PRJNA1099918,,1099918,SRS21010540,SAMN40951419,simple,1409,Bacillus sp. (in: firmicutes),GSM8207479,,,,,,,no,,,,,JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,SRA1845199,,public,B6CBB291E7F8CB7F50E2E76722C9FC1D,99FBF28A633DE3E70B298030A65EAAB9
SRR28674033,2024-04-20 01:32:57,2024-04-14 15:52:17,10064795,3039568090,10064795,302,2165,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR028/28674/SRR28674033/SRR28674033.lite.1,SRX24242355,GSM8207480,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP501623,PRJNA1099918,,1099918,SRS21010541,SAMN40951418,simple,1409,Bacillus sp. (in: firmicutes),GSM8207480,,,,,,,no,,,,,JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,SRA1845199,,public,47AA26C701193D270313CF45DB84BEFA,176ED7248256386672D3CFE6CFF174A2
