gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-ACZ0AN_RS01140	2143.006249849845	-6.396216712692125	0.14937088189614253	-42.82104136694734	0	0
gene-ACZ0AN_RS01145	1180.0919560952989	-5.471062351983153	0.14580113970449823	-37.52413981860226	0	0
gene-ACZ0AN_RS01455	3066.581289358153	-3.2958388997769426	0.07596377504059856	-43.3869814660408	0	0
gene-ACZ0AN_RS01590	17326.818449286286	-4.2040370838771794	0.05934579294130744	-70.83968172832304	0	0
gene-ACZ0AN_RS01595	13557.733270929684	-3.571231651717359	0.06892994801511594	-51.80957993663666	0	0
gene-ACZ0AN_RS01775	8639.667134481859	-7.262461684729898	0.1030784591491054	-70.4556678929841	0	0
gene-ACZ0AN_RS01790	2975.238339328423	-2.971389081013441	0.07141612542082215	-41.60669685598906	0	0
gene-ACZ0AN_RS02145	1602.622289851812	-3.971159432036198	0.09890354484844029	-40.151841252218006	0	0
gene-ACZ0AN_RS02280	10737.481142899374	-2.9012929042970894	0.05967675409783818	-48.616801435622826	0	0
gene-ACZ0AN_RS02385	8389.239640017584	-3.79469011490344	0.07324142828838481	-51.81070609330582	0	0
gene-ACZ0AN_RS02645	1557.883693447737	-5.2347449755882725	0.13275877752054438	-39.43049998918676	0	0
gene-ACZ0AN_RS02650	4161.036859888909	-5.408054374109166	0.10163907198759688	-53.208419442959055	0	0
gene-ACZ0AN_RS03245	2695.2646273992623	-3.185139683567222	0.07921642694152183	-40.20807055484232	0	0
gene-ACZ0AN_RS03250	48353.3146202265	-3.756101983008577	0.05935307286988937	-63.284035710206645	0	0
gene-ACZ0AN_RS03425	2730.1550041363257	-3.586727143568864	0.07680356131632708	-46.700010808045555	0	0
gene-ACZ0AN_RS03965	5124.673754039965	-7.153308129401984	0.12367310250104448	-57.84045184232013	0	0
gene-ACZ0AN_RS04100	2487.90533452766	-3.7700204955422865	0.0930925642585346	-40.497546990673385	0	0
gene-ACZ0AN_RS06190	10686.970900157216	-4.589418662325533	0.07058981075582314	-65.015313303513	0	0
gene-ACZ0AN_RS06195	9365.032399936052	-5.028009511687283	0.07264850664083389	-69.21008764220304	0	0
gene-ACZ0AN_RS06200	13219.174866375966	-5.978891480263188	0.0763626283505758	-78.29604100076926	0	0
gene-ACZ0AN_RS06205	3323.0618944595776	-5.880740257967718	0.10641102891830896	-55.26438676278869	0	0
gene-ACZ0AN_RS06210	8876.396972395189	-5.611823325934181	0.08016125540246896	-70.00667963293071	0	0
gene-ACZ0AN_RS06215	18037.361198791456	-6.253584984115285	0.073451351544123	-85.13914111381179	0	0
gene-ACZ0AN_RS06430	2061.188532813865	-2.9793143446952164	0.0774009362434009	-38.49196778868716	0	0
gene-ACZ0AN_RS06445	27688.311000398364	-2.610654489631579	0.05598337681666221	-46.63267273392797	0	0
gene-ACZ0AN_RS07395	34361.987744743994	-2.4993873269668105	0.05685068799118026	-43.964064733122704	0	0
