gene_id	S1	S2	S3	NS1	NS2	NS3
gene-ACZ0AN_RS00005	1011	1188	980	1381	1552	1632
gene-ACZ0AN_RS00010	897	965	959	2051	2227	2759
gene-ACZ0AN_RS00015	230	293	246	189	166	218
gene-ACZ0AN_RS00020	858	932	942	874	1039	1142
gene-ACZ0AN_RS00025	97	87	98	97	165	158
gene-ACZ0AN_RS00030	1075	1194	1242	4365	5185	6166
gene-ACZ0AN_RS00035	2699	2994	2835	6953	8194	9738
gene-ACZ0AN_RS00065	9	4	2	9	14	10
gene-ACZ0AN_RS00070	4576	5011	4572	12819	13714	16392
gene-ACZ0AN_RS00075	1120	1340	1160	2328	2455	2773
gene-ACZ0AN_RS00080	2269	2362	2221	2167	2318	2561
gene-ACZ0AN_RS00085	1450	1456	1494	1574	1858	2123
gene-ACZ0AN_RS00090	1151	1254	1313	1921	2151	2819
gene-ACZ0AN_RS00095	2828	3359	3184	727	830	920
gene-ACZ0AN_RS00100	2414	2606	2641	557	686	700
gene-ACZ0AN_RS00105	172	221	167	161	168	205
gene-ACZ0AN_RS00110	65	74	61	57	62	59
gene-ACZ0AN_RS00120	177	206	199	543	542	647
gene-ACZ0AN_RS00125	111	152	143	238	242	274
gene-ACZ0AN_RS00130	751	836	612	249	363	374
gene-ACZ0AN_RS00135	224	208	180	9	4	7
gene-ACZ0AN_RS00140	155	112	101	61	60	69
gene-ACZ0AN_RS00150	1423	1463	1416	1182	1200	1337
gene-ACZ0AN_RS00155	622	700	592	864	889	890
gene-ACZ0AN_RS00160	301	285	283	354	313	352
gene-ACZ0AN_RS00165	48	67	54	58	82	86
gene-ACZ0AN_RS00170	51	59	42	25	44	41
gene-ACZ0AN_RS00200	25	27	35	22	51	68
gene-ACZ0AN_RS00205	298	359	313	265	284	344
gene-ACZ0AN_RS00210	609	678	562	732	842	953
gene-ACZ0AN_RS00215	485	542	490	291	347	412
gene-ACZ0AN_RS00220	145	175	136	126	123	178
gene-ACZ0AN_RS00225	1166	1275	1128	590	710	871
gene-ACZ0AN_RS00230	1152	1267	1057	603	727	770
gene-ACZ0AN_RS00235	2488	2772	2357	1346	1382	1627
gene-ACZ0AN_RS00240	2484	2752	2573	1459	1634	1865
gene-ACZ0AN_RS00245	1059	1178	1000	676	861	933
gene-ACZ0AN_RS00250	195	244	208	272	241	301
gene-ACZ0AN_RS00255	39	27	36	61	52	65
gene-ACZ0AN_RS00260	357	394	394	458	508	625
gene-ACZ0AN_RS00265	5216	6637	6235	461	537	631
gene-ACZ0AN_RS00270	3049	3430	2916	6935	7988	9691
gene-ACZ0AN_RS00275	194	266	216	596	651	772
gene-ACZ0AN_RS00280	2519	2727	2370	2233	2624	2880
gene-ACZ0AN_RS00285	226	224	206	103	103	147
gene-ACZ0AN_RS00290	557	693	557	592	705	748
gene-ACZ0AN_RS00295	27	34	36	9	7	11
gene-ACZ0AN_RS00300	20780	26096	31390	11825	13507	16049
gene-ACZ0AN_RS00305	201	179	180	38	45	71
gene-ACZ0AN_RS00310	1160	1314	1150	659	689	699
gene-ACZ0AN_RS00315	730	829	795	1053	1149	1322
gene-ACZ0AN_RS00320	873	1042	963	1593	1784	2315
gene-ACZ0AN_RS00325	18072	21782	19890	83057	106239	128650
gene-ACZ0AN_RS00330	3074	3296	3510	2511	2938	3288
gene-ACZ0AN_RS00335	1775	2048	2144	2232	2760	3145
gene-ACZ0AN_RS00340	28780	32762	28413	2729	3265	4288
gene-ACZ0AN_RS00345	407	432	375	400	399	496
gene-ACZ0AN_RS00350	68	84	66	59	80	79
gene-ACZ0AN_RS00355	2029	2343	2029	2426	2813	3307
gene-ACZ0AN_RS00360	127	127	99	275	303	340
gene-ACZ0AN_RS00365	150	167	178	372	404	510
gene-ACZ0AN_RS00370	338	378	379	570	755	874
gene-ACZ0AN_RS00375	186	215	175	285	334	359
gene-ACZ0AN_RS00380	175	219	211	283	356	361
gene-ACZ0AN_RS00385	445	370	401	416	507	551
gene-ACZ0AN_RS00390	608	706	719	875	1055	1207
gene-ACZ0AN_RS00395	7175	8341	7182	6570	7080	8645
gene-ACZ0AN_RS00410	2661	2814	3078	7686	10482	14025
gene-ACZ0AN_RS00415	901	921	909	2346	3156	4437
gene-ACZ0AN_RS00420	365	414	407	1048	1639	2106
gene-ACZ0AN_RS00425	3126	3402	2969	1215	1435	1669
gene-ACZ0AN_RS00430	954	995	872	873	942	1065
gene-ACZ0AN_RS00435	9675	11301	10715	16853	19052	22847
gene-ACZ0AN_RS00440	491	579	555	423	430	513
gene-ACZ0AN_RS00445	463	533	463	578	677	804
gene-ACZ0AN_RS00450	284	330	279	245	309	384
gene-ACZ0AN_RS00455	6390	7321	12123	48585	54957	62150
gene-ACZ0AN_RS00460	602	631	549	434	400	459
gene-ACZ0AN_RS00465	488	494	512	293	318	417
gene-ACZ0AN_RS00470	651	692	604	313	370	451
gene-ACZ0AN_RS00475	617	674	579	504	532	612
gene-ACZ0AN_RS00480	414	393	380	362	421	488
gene-ACZ0AN_RS00485	533	519	530	399	496	564
gene-ACZ0AN_RS00490	215	234	220	186	185	207
gene-ACZ0AN_RS00495	3443	4094	3558	3355	4023	4819
gene-ACZ0AN_RS00500	1397	1837	1640	3734	4284	5178
gene-ACZ0AN_RS00580	408	479	393	210	234	263
gene-ACZ0AN_RS00585	844	872	700	654	876	899
gene-ACZ0AN_RS00590	2289	2573	2039	2346	2995	3441
gene-ACZ0AN_RS00595	10278	11678	10089	15711	19715	23150
gene-ACZ0AN_RS00600	3170	3518	3205	3469	4191	4822
gene-ACZ0AN_RS00605	1873	2032	1899	2089	2599	2991
gene-ACZ0AN_RS00610	4487	5047	4486	3796	4397	5051
gene-ACZ0AN_RS00615	2547	3015	2605	2147	2459	2762
gene-ACZ0AN_RS00620	405	429	379	469	583	660
gene-ACZ0AN_RS00625	4475	4920	4546	6386	6990	8123
gene-ACZ0AN_RS00630	520	574	638	443	551	648
gene-ACZ0AN_RS00635	1372	1656	1812	1546	1775	2182
gene-ACZ0AN_RS00640	293	361	385	312	371	446
gene-ACZ0AN_RS00645	639	719	813	719	844	931
gene-ACZ0AN_RS00650	348	378	442	356	476	602
gene-ACZ0AN_RS00655	2663	2936	2633	3679	3943	4440
gene-ACZ0AN_RS00660	324	403	400	162	126	162
gene-ACZ0AN_RS00665	510	636	515	530	602	703
gene-ACZ0AN_RS00670	847	1032	945	875	1097	1286
gene-ACZ0AN_RS00675	4639	5375	5331	5566	6760	8510
gene-ACZ0AN_RS00680	5447	6353	6653	6310	7217	8519
gene-ACZ0AN_RS00685	2275	2620	3071	2441	2945	3846
gene-ACZ0AN_RS00690	3463	3988	4500	3259	4247	5405
gene-ACZ0AN_RS00695	186	189	211	215	279	275
gene-ACZ0AN_RS00700	18332	20846	23392	21838	28756	33605
gene-ACZ0AN_RS00705	21193	23998	26334	29913	39866	47527
gene-ACZ0AN_RS00710	2090	1975	2262	803	984	1084
gene-ACZ0AN_RS00715	4111	4578	4588	6313	7794	9184
gene-ACZ0AN_RS00720	4185	4540	4464	5560	7017	7842
gene-ACZ0AN_RS00725	24941	28193	28365	36331	46580	55907
gene-ACZ0AN_RS00730	24491	27370	26174	52142	60460	74616
gene-ACZ0AN_RS00735	1361	1394	1582	2278	2986	3437
gene-ACZ0AN_RS00740	2682	3142	3331	5985	7749	9266
gene-ACZ0AN_RS00745	2714	3112	3251	5588	7259	8919
gene-ACZ0AN_RS00750	939	1053	1149	2273	2892	3716
gene-ACZ0AN_RS00755	4384	4713	5200	9364	12654	15463
gene-ACZ0AN_RS00760	1131	1223	1267	2442	3246	3968
gene-ACZ0AN_RS00765	1565	1772	1923	3424	4611	5681
