gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-ACSAL1_RS01645	33739.40232208028	-8.731497773152256	0.19341356039819863	-45.14418614277046	0	0
gene-ACSAL1_RS04155	13040.689192508546	-11.559233767667193	0.2863118525605391	-40.37287895799932	0	0
gene-ACSAL1_RS04560	7599.817092835187	-7.120532440788012	0.16327105669680578	-43.61172509596012	0	0
gene-ACSAL1_RS05295	29493.484952396087	-9.320798621267242	0.19596580844606837	-47.56339228346772	0	0
gene-ACSAL1_RS05690	4932.759705778486	-7.884976028223897	0.1873697401496598	-42.08244096365746	0	0
gene-ACSAL1_RS05695	8652.82929835304	-10.07162757888156	0.23041639862832414	-43.710550285649234	0	0
gene-ACSAL1_RS06330	45523.930693597045	-5.864729763497474	0.13935055659581866	-42.0861595874921	0	0
gene-ACSAL1_RS09040	4456.478958960856	-7.2447644810109635	0.17514472421739413	-41.36444596537533	0	0
gene-ACSAL1_RS09355	7723.748911854106	-7.3157015989365455	0.16028022368857883	-45.64319558943718	0	0
gene-ACSAL1_RS09360	16029.741535350047	-8.67295979419224	0.1753886946465919	-49.44993639224152	0	0
gene-ACSAL1_RS09500	7027.902565450979	-6.1892231401134294	0.14934833526666735	-41.44152748045251	0	0
gene-ACSAL1_RS09540	4742.170739061687	-7.5173165323510505	0.1882303763168618	-39.93678745930257	0	0
gene-ACSAL1_RS09790	31758.34320211484	-7.596046365567585	0.1449571538324361	-52.40201097179565	0	0
gene-ACSAL1_RS11210	4941.948427266625	-6.550181048545552	0.17195240309561427	-38.09298928438539	0	0
gene-ACSAL1_RS11215	5422.58719821304	-8.142809049391321	0.19826515959242955	-41.07029730352201	0	0
gene-ACSAL1_RS11220	12052.53728174141	-8.074470727901268	0.18506217742030748	-43.63112355239818	0	0
gene-ACSAL1_RS11245	2877.704516105387	-8.167946101140267	0.21440741176618788	-38.09544657927891	0	0
gene-ACSAL1_RS13295	12001.280130449817	-9.34505117221065	0.1955908363204556	-47.77857361834549	0	0
gene-ACSAL1_RS14080	24829.891245309143	-9.30664409671237	0.16221935666243048	-57.37073730405048	0	0
gene-ACSAL1_RS14375	18331.043228844625	8.191428088473684	0.20213297281819256	40.52494738620116	0	0
gene-ACSAL1_RS14380	12486.407133470948	9.031164912910793	0.2384408641829772	37.87591084211289	0	0
gene-ACSAL1_RS15165	5152.658052194778	-8.721002722998175	0.2085030080607937	-41.82674774867216	0	0
gene-ACSAL1_RS15205	16668.870957564126	-7.145460239630717	0.1698524947443983	-42.06862107255785	0	0
gene-ACSAL1_RS15290	4564.550281063331	-8.089063470041244	0.18714056178226382	-43.224533436277646	0	0
gene-ACSAL1_RS15300	5238.696912941983	-8.257644976678076	0.20683738624022585	-39.92336746649588	0	0
gene-ACSAL1_RS17985	3480.4926090339254	-6.931690911383481	0.1744489199716196	-39.734788340972074	0	0
gene-ACSAL1_RS18425	13938.743314015885	-7.831193880278129	0.15913487868432244	-49.21104628365572	0	0
gene-ACSAL1_RS04975	7309.896109286996	-6.2087653931388385	0.166542051977204	-37.28046652138454	3.401774361903123e-304	3.946058259807623e-302
gene-ACSAL1_RS09495	6855.337830255397	-6.796985221757411	0.1830157389600803	-37.138801615526525	6.647414773066444e-302	7.445104545834417e-300
gene-ACSAL1_RS09065	2832.7110820055304	-8.329759065668817	0.22541435624307044	-36.95309919252264	6.494794354631158e-299	7.031697354614e-297
gene-ACSAL1_RS19120	2626.809410335173	-8.050489048604073	0.2206829475886703	-36.47988726165347	2.3114436615279587e-291	2.421796455691229e-289
gene-ACSAL1_RS14950	26904.42691427338	-6.050197136585435	0.1674423030749649	-36.133026275186424	6.87422951535447e-286	6.977342958084788e-284
gene-ACSAL1_RS09490	7713.427277660471	-6.4825091953091585	0.17998091106222422	-36.01775964489913	4.4109435972651783e-284	4.3414378193688784e-282
gene-ACSAL1_RS15120	3269.953112475832	-6.386203629300206	0.17757232860626157	-35.963957219148696	3.0629901809643683e-283	2.926056502285961e-281
gene-ACSAL1_RS09485	6855.558077721681	-6.366259052420619	0.17736030791472468	-35.894497067977206	3.722465971480101e-282	3.4544484215335336e-280
gene-ACSAL1_RS04150	7599.828225320778	-11.195098894813908	0.31601211184024486	-35.426170312337334	6.753707928948666e-275	6.093345375895908e-273
