gene_id	Control1	Control2	Control3	Salt1	Salt2	Salt3
gene-ACSAL1_RS00005	167	126	181	895	741	720
gene-ACSAL1_RS00010	282	318	264	510	442	378
gene-ACSAL1_RS00015	12	8	15	147	135	149
gene-ACSAL1_RS00020	366	300	416	3865	2757	3262
gene-ACSAL1_RS00025	19	25	36	203	132	184
gene-ACSAL1_RS00030	1649	1795	1609	2610	1873	1796
gene-ACSAL1_RS00035	2702	2982	2810	3415	2618	2755
gene-ACSAL1_RS00070	9347	8301	8502	1321	1501	1349
gene-ACSAL1_RS00075	491	409	422	1311	984	1078
gene-ACSAL1_RS00080	690	805	839	465	510	432
gene-ACSAL1_RS00085	531	539	632	476	485	448
gene-ACSAL1_RS00090	1887	2053	1749	1046	876	788
gene-ACSAL1_RS00095	319	293	334	130	174	146
gene-ACSAL1_RS00105	30	32	21	295	215	232
gene-ACSAL1_RS00110	21	21	22	690	536	588
gene-ACSAL1_RS00115	198	223	257	941	1113	1027
gene-ACSAL1_RS00120	629	738	746	2632	3232	3673
gene-ACSAL1_RS00125	8	3	13	117	68	92
gene-ACSAL1_RS00135	129	101	162	1466	1206	1273
gene-ACSAL1_RS00140	192	201	206	623	466	583
gene-ACSAL1_RS00145	46	56	45	247	238	189
gene-ACSAL1_RS00150	78	74	73	143	142	116
gene-ACSAL1_RS00185	821	777	718	41	35	50
gene-ACSAL1_RS00190	104	93	92	210	138	184
gene-ACSAL1_RS00195	44	51	60	212	119	163
gene-ACSAL1_RS00200	81	48	79	306	222	237
gene-ACSAL1_RS00205	28	17	48	58	40	43
gene-ACSAL1_RS00210	247	204	229	495	313	490
gene-ACSAL1_RS00215	228	198	250	283	201	223
gene-ACSAL1_RS00220	517	355	650	1203	994	1083
gene-ACSAL1_RS00225	277	216	345	779	604	755
gene-ACSAL1_RS00230	165	171	172	974	602	831
gene-ACSAL1_RS00235	5	5	12	111	86	92
gene-ACSAL1_RS00240	1	2	0	12	25	16
gene-ACSAL1_RS00245	60	75	62	111	107	88
gene-ACSAL1_RS00250	1387	1254	1503	4249	2592	3566
gene-ACSAL1_RS00255	1479	1565	1453	2532	2527	2321
gene-ACSAL1_RS00260	172	159	175	418	558	439
gene-ACSAL1_RS00265	124	75	142	723	886	864
gene-ACSAL1_RS00270	33	25	26	157	142	125
gene-ACSAL1_RS00275	118	124	112	691	638	573
gene-ACSAL1_RS00280	1	1	2	41	30	25
gene-ACSAL1_RS00285	2632	2504	2600	19152	11687	16762
gene-ACSAL1_RS00290	86	107	81	102	78	79
gene-ACSAL1_RS00295	257	225	251	508	483	514
gene-ACSAL1_RS00300	269	226	302	804	645	630
gene-ACSAL1_RS00305	185	184	213	734	489	533
gene-ACSAL1_RS00310	7991	7376	8184	1405	1143	1553
gene-ACSAL1_RS00315	140	143	188	2367	1685	1884
gene-ACSAL1_RS00320	130	148	160	492	407	315
gene-ACSAL1_RS00325	24940	32950	26581	14008	12448	14139
gene-ACSAL1_RS00330	113	113	157	446	556	554
gene-ACSAL1_RS00335	22	17	27	155	196	159
gene-ACSAL1_RS00340	579	602	741	1712	2115	1976
gene-ACSAL1_RS00345	11	26	43	445	463	490
gene-ACSAL1_RS00350	125	150	131	1689	1627	1722
