set	KO	definition	foreground_with_KO	foreground_total	background_with_KO	background_total	oddsratio	pvalue	padj
conserved_up	K03315	Na+:H+ antiporter, NhaC family	2	173	2	2017	inf	0.007317759362875872	0.10926983652651096
conserved_up	K07038	inner membrane protein	2	173	2	2017	inf	0.007317759362875872	0.10926983652651096
conserved_up	K00013	histidinol dehydrogenase [EC:1.1.1.23]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K00782	L-lactate dehydrogenase complex protein LldG	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K00850	6-phosphofructokinase 1 [EC:2.7.1.11]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K00874	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K00925	acetate kinase [EC:2.7.2.1]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K01212	levanase [EC:3.2.1.65]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K01226	trehalose-6-phosphate hydrolase [EC:3.2.1.93]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K01356	repressor LexA [EC:3.4.21.88]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K01567	peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K01575	acetolactate decarboxylase [EC:4.1.1.5]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K01693	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K01932	gamma-polyglutamate synthase [EC:6.3.2.-]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K02001	glycine betaine/proline transport system permease protein	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K02002	glycine betaine/proline transport system substrate-binding protein	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K02236	leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K02238	competence protein ComEC	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K02243	competence protein ComGA	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K02244	competence protein ComGB	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
conserved_up	K02246	competence protein ComGD	1	173	1	2017	inf	0.08577094695091719	0.10926983652651096
