set	KO	definition	foreground_with_KO	foreground_total	background_with_KO	background_total	oddsratio	pvalue	padj	response_set	label	neg_log10_pvalue	significant_fdr
conserved_down	K02032	peptide/nickel transport system ATP-binding protein	3	176	3	2017	Inf	6.540764133484e-4	0.06181022106142454	conserved_down	K02032 | peptide/nickel transport system ATP-bindin...	3.1843715116803426	FDR ≥ 0.05
conserved_down	K02035	peptide/nickel transport system substrate-binding protein	3	176	3	2017	Inf	6.540764133484e-4	0.06181022106142454	conserved_down	K02035 | peptide/nickel transport system substrate-...	3.1843715116803426	FDR ≥ 0.05
conserved_down	K01286	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	2	176	2	2017	Inf	0.0075745055913623	0.11295766804083102	conserved_down	K01286 | D-alanyl-D-alanine carboxypeptidase [EC:3....	2.1206457094858093	FDR ≥ 0.05
conserved_down	K03969	phage shock protein A	2	176	2	2017	Inf	0.0075745055913623	0.11295766804083102	conserved_down	K03969 | phage shock protein A	2.1206457094858093	FDR ≥ 0.05
conserved_down	K10823	oligopeptide transport system ATP-binding protein	2	176	2	2017	Inf	0.0075745055913623	0.11295766804083102	conserved_down	K10823 | oligopeptide transport system ATP-binding ...	2.1206457094858093	FDR ≥ 0.05
conserved_down	K15580	oligopeptide transport system substrate-binding protein	2	176	2	2017	Inf	0.0075745055913623	0.11295766804083102	conserved_down	K15580 | oligopeptide transport system substrate-bi...	2.1206457094858093	FDR ≥ 0.05
conserved_down	K19420	protein tyrosine kinase modulator	2	176	2	2017	Inf	0.0075745055913623	0.11295766804083102	conserved_down	K19420 | protein tyrosine kinase modulator	2.1206457094858093	FDR ≥ 0.05
conserved_down	K02031	peptide/nickel transport system ATP-binding protein	2	176	3	2017	21.149425287356323	0.0214153639473901	0.11295766804083102	conserved_down	K02031 | peptide/nickel transport system ATP-bindin...	1.6692745405062572	FDR ≥ 0.05
conserved_down	K02034	peptide/nickel transport system permease protein	2	176	3	2017	21.149425287356323	0.0214153639473901	0.11295766804083102	conserved_down	K02034 | peptide/nickel transport system permease p...	1.6692745405062572	FDR ≥ 0.05
conserved_down	K15582	oligopeptide transport system permease protein	2	176	3	2017	21.149425287356323	0.0214153639473901	0.11295766804083102	conserved_down	K15582 | oligopeptide transport system permease pro...	1.6692745405062572	FDR ≥ 0.05
