run_accession	num_processed	num_mapped	percent_mapped
SRR1565402	6715773	4866728	72.46713073833794
SRR1565404	6897198	4869239	70.59734982234815
SRR28973047	15269219	6771224	44.34558178777841
SRR28973048	16542052	7264752	43.916873190823004
SRR28973049	14469863	6456587	44.62092695694493
SRR28973050	18058150	9984555	55.29112893624208
SRR28973051	15762552	8431331	53.48963162817798
SRR28973052	14251409	6982524	48.99532390095604
SRR3488624	10215022	1773260	17.359336083661887
SRR3488625	9468524	2195666	23.189105292440512
SRR3488626	9377023	1299853	13.862107408715966
SRR3488628	8808097	1044146	11.854388070431105
SRR3488629	10487594	1523112	14.522987827331987
SRR3488630	8069190	1640918	20.335597501112254
SRR3488631	11077704	1092667	9.863659473118256
SRR3488632	10264883	1356089	13.210954279751656
SRR3488633	12877261	1349142	10.47693294404765
SRR3488634	9182674	1218742	13.272190649477484
SRR3488635	12497964	1259964	10.08135405094782
SRR36805037	7607331	3571579	46.94917310683602
SRR36805038	7693050	3697712	48.06561766789505
SRR36805039	7565119	3515356	46.467953775743645
SRR36805040	7424140	3433373	46.246070251907966
SRR36805041	8231935	3627045	44.06066131474556
SRR36805042	7506109	3263107	43.472683383627924
