response_class	functional_category	n
conserved_down	unclassified	163
conserved_down	transport	48
conserved_down	biofilm_cell_envelope	16
conserved_down	glycine_betaine_choline	11
conserved_down	regulation	11
conserved_down	oxidative_stress	6
conserved_down	glycine_betaine_choline;sodium_homeostasis	1
conserved_up	unclassified	167
conserved_up	regulation	22
conserved_up	transport	18
conserved_up	sodium_homeostasis	13
conserved_up	biofilm_cell_envelope	5
conserved_up	glycine_betaine_choline	4
conserved_up	oxidative_stress	4
conserved_up	sodium_homeostasis;transport	4
conserved_up	glycine_betaine_choline;proline;transport	3
conserved_up	poly_gamma_glutamate;transport	2
conserved_up	proline	2
conserved_up	proline;transport	2
conserved_up	glycine_betaine_choline;oxidative_stress	1
conserved_up	glycine_betaine_choline;regulation	1
conserved_up	proline;sodium_homeostasis;transport	1
opposite	unclassified	189
opposite	transport	41
opposite	regulation	16
opposite	oxidative_stress	10
opposite	glycine_betaine_choline	9
opposite	biofilm_cell_envelope	5
opposite	glycine_betaine_choline;oxidative_stress	1
opposite	glycine_betaine_choline;regulation	1
opposite	glycine_betaine_choline;transport	1
opposite	proline;transport	1
opposite	transport;regulation	1
