KO_definition	count
unannotated	88
iron-siderophore transport system permease protein	4
iron complex transport system ATP-binding protein [EC:7.2.2.-]	2
lantibiotic transport system permease protein	2
ferric hydroxamate/heme transport system substrate-binding protein	2
flavodoxin I	2
uncharacterized protein	2
carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	1
dihydrolipoyl dehydrogenase [EC:1.8.1.4]	1
preprotein translocase subunit SecY	1
GMP reductase [EC:1.7.1.7]	1
gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	1
HTH-type transcriptional regulator, glycine betaine synthesis regulator	1
glycerate 2-kinase [EC:2.7.1.165]	1
polysaccharide transporter, PST family	1
pyroglutamyl-peptidase [EC:3.4.19.3]	1
large subunit ribosomal protein L33	1
glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	1
zinc-binding alcohol dehydrogenase/oxidoreductase	1
acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]	1
cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	1
cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]	1
germination protein M	1
chromate transporter	1
iron-siderophore transport system ATP-binding protein [EC:7.2.2.-]	1
long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	1
1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	1
2-isopropylmalate synthase [EC:2.3.3.13]	1
NAD+ synthase [EC:6.3.1.5]	1
phosphatidylserine decarboxylase [EC:4.1.1.65]	1
cystathionine beta-synthase (O-acetyl-L-serine) [EC:2.5.1.134]	1
precorrin-2 dehydrogenase [EC:1.3.1.76]	1
thiamine transporter	1
scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.371]	1
FMN-dependent NADH-azoreductase [EC:1.7.1.17]	1
sulfate permease	1
translation initiation factor IF-1	1
small acid-soluble spore protein F	1
superoxide dismutase, Cu-Zn family [EC:1.15.1.1]	1
putative tricarboxylic transport membrane protein	1
