gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	gene_symbol	product	neg_log10_padj	deg_class	label
gene-ACSAL1_RS01645	33739.40232208028	-8.731497773152256	0.19341356039819865	-45.14418614277046	0	0	WP_007609269.1	NA	antimicrobial peptide LCI	Inf	Down	NA
gene-ACSAL1_RS04155	13040.689192508546	-11.559233767667193	0.2863118525605391	-40.37287895799932	0	0	WP_209388014.1	lpdA	dihydrolipoyl dehydrogenase	Inf	Down	NA
gene-ACSAL1_RS04560	7599.817092835187	-7.120532440788012	0.16327105669680578	-43.61172509596012	0	0	WP_209388031.1	katA	catalase KatA	Inf	Down	NA
gene-ACSAL1_RS05295	29493.484952396087	-9.320798621267242	0.19596580844606837	-47.56339228346772	0	0	WP_014417349.1	NA	S8 family peptidase	Inf	Down	NA
gene-ACSAL1_RS05690	4932.759705778486	-7.884976028223897	0.1873697401496598	-42.08244096365746	0	0	WP_209388091.1	carB	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit	Inf	Down	NA
gene-ACSAL1_RS05695	8652.82929835304	-10.07162757888156	0.23041639862832416	-43.710550285649234	0	0	WP_209388092.1	argF	ornithine carbamoyltransferase	Inf	Down	NA
gene-ACSAL1_RS06330	45523.930693597045	-5.864729763497474	0.13935055659581866	-42.0861595874921	0	0	WP_087920760.1	NA	Rap family tetratricopeptide repeat protein	Inf	Down	NA
gene-ACSAL1_RS09040	4456.478958960856	-7.2447644810109635	0.17514472421739413	-41.36444596537533	0	0	WP_003154023.1	NA	lytic polysaccharide monooxygenase auxiliary activity family 9 protein	Inf	Down	NA
gene-ACSAL1_RS09355	7723.748911854106	-7.3157015989365455	0.16028022368857883	-45.64319558943718	0	0	WP_209388298.1	NA	non-ribosomal peptide synthase/polyketide synthase	Inf	Down	NA
gene-ACSAL1_RS09360	16029.741535350047	-8.67295979419224	0.1753886946465919	-49.44993639224152	0	0	WP_209388299.1	bamA	bacillomycin D hybrid PKS/NRPS BamA	Inf	Down	NA
gene-ACSAL1_RS09500	7027.902565450979	-6.1892231401134294	0.14934833526666735	-41.44152748045251	0	0	WP_209387320.1	NA	non-ribosomal peptide synthetase	Inf	Down	NA
gene-ACSAL1_RS09540	4742.170739061687	-7.517316532351051	0.1882303763168618	-39.93678745930257	0	0	WP_014418078.1	ggt	gamma-glutamyltransferase	Inf	Down	NA
gene-ACSAL1_RS09790	31758.34320211484	-7.596046365567585	0.1449571538324361	-52.40201097179565	0	0	WP_017417962.1	NA	aldehyde dehydrogenase family protein	Inf	Down	NA
gene-ACSAL1_RS11210	4941.948427266625	-6.550181048545552	0.17195240309561427	-38.09298928438539	0	0	WP_209387410.1	NA	type I polyketide synthase	Inf	Down	NA
gene-ACSAL1_RS11215	5422.58719821304	-8.142809049391321	0.19826515959242955	-41.07029730352201	0	0	WP_209387411.1	NA	type I polyketide synthase	Inf	Down	NA
gene-ACSAL1_RS11220	12052.53728174141	-8.074470727901268	0.18506217742030748	-43.63112355239818	0	0	WP_209387412.1	NA	type I polyketide synthase	Inf	Down	NA
gene-ACSAL1_RS11245	2877.704516105387	-8.167946101140267	0.21440741176618788	-38.09544657927891	0	0	WP_209387415.1	fabD	ACP S-malonyltransferase	Inf	Down	NA
gene-ACSAL1_RS13295	12001.280130449815	-9.34505117221065	0.1955908363204556	-47.77857361834549	0	0	WP_209387493.1	NA	glyceraldehyde-3-phosphate dehydrogenase	Inf	Down	NA
gene-ACSAL1_RS14080	24829.891245309143	-9.30664409671237	0.16221935666243048	-57.37073730405048	0	0	WP_103526682.1	pckA	phosphoenolpyruvate carboxykinase (ATP)	Inf	Down	NA
gene-ACSAL1_RS14375	18331.043228844625	8.191428088473684	0.20213297281819256	40.52494738620116	0	0	WP_209387532.1	gbsB	choline dehydrogenase	Inf	Up	gbsB
