ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	candidate_category
WP_003151337.1	WP_023857157.1	gene-ACSAL1_RS16880	4.862568613443718	gene-ACZ0AN_RS19045	2.7795226158647184	conserved_up	pgsB	poly-gamma-glutamate synthase PgsB	pgsB	poly-gamma-glutamate synthase PgsB	transport
WP_003156375.1	WP_020450121.1	gene-ACSAL1_RS01825	2.398318167990748	gene-ACZ0AN_RS02140	-3.155361437405906	opposite		amino acid ABC transporter permease		amino acid ABC transporter permease	transport
WP_017417453.1	WP_080131317.1	gene-ACSAL1_RS05805	-4.680521267366401	gene-ACZ0AN_RS06465	-1.70289199449179	conserved_down	oppF	oligopeptide ABC transporter ATP-binding protein OppF		ABC transporter ATP-binding protein	transport
WP_209388097.1	WP_020450931.1	gene-ACSAL1_RS05785	-4.369237861431171	gene-ACZ0AN_RS06445	-2.610654489631579	conserved_down		peptide ABC transporter substrate-binding protein		peptide ABC transporter substrate-binding protein	transport
WP_209388089.1	WP_050820921.1	gene-ACSAL1_RS05670	-4.715303622546209	gene-ACZ0AN_RS06315	1.0881756127610345	opposite	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	transport
WP_209388068.1	WP_003180341.1	gene-ACSAL1_RS05300	-1.1396719652030278	gene-ACZ0AN_RS05785	-3.547532508357943	conserved_down		ABC transporter substrate-binding protein		ABC transporter substrate-binding protein	transport
WP_003153229.1	WP_463315567.1	gene-ACSAL1_RS11345	-1.6740983551861546	gene-ACZ0AN_RS12935	-4.8994849241551215	conserved_down	artM	arginine ABC transporter ATP-binding protein ArtM		amino acid ABC transporter ATP-binding protein	transport
WP_021494838.1	WP_023857146.1	gene-ACSAL1_RS17000	-1.9059004191608315	gene-ACZ0AN_RS19120	1.6134055385530237	opposite	chrB	chromate efflux transporter subunit ChrB		chromate transporter	transport
WP_063636991.1	WP_025810135.1	gene-ACSAL1_RS01975	3.14283442820121	gene-ACZ0AN_RS02380	-2.9054420844214093	opposite		iron ABC transporter ATP-binding protein		iron ABC transporter ATP-binding protein	transport
WP_209387856.1	WP_065644601.1	gene-ACSAL1_RS01565	-4.883845397278584	gene-ACZ0AN_RS04420	-1.5259832038594563	conserved_down		MFS transporter		MFS transporter	transport
WP_209387590.1	WP_020450026.1	gene-ACSAL1_RS15810	4.075270744142511	gene-ACZ0AN_RS01645	-2.679636350223789	opposite		lantibiotic immunity ABC transporter MutG family permease subunit		lantibiotic immunity ABC transporter MutG family permease subunit	transport
WP_012117522.1	WP_020451335.1	gene-ACSAL1_RS07940	1.46329600320265	gene-ACZ0AN_RS08650	-5.1459412443498325	opposite	cysP	sulfate permease		inorganic phosphate transporter	transport
WP_209388323.1	WP_023856293.1	gene-ACSAL1_RS04295	1.4951395833675063	gene-ACZ0AN_RS17895	4.944402784968511	conserved_up		MFS transporter		MFS transporter	transport
WP_094296495.1	WP_035337765.1	gene-ACSAL1_RS04245	-1.96119704155616	gene-ACZ0AN_RS18565	-2.110650665514868	conserved_down		MFS transporter		MFS transporter	transport
WP_209388057.1	WP_463315656.1	gene-ACSAL1_RS04995	-1.5539544197770336	gene-ACZ0AN_RS05460	-2.870280723913922	conserved_down	bmrC	multidrug ABC transporter ATP-binding protein BmrC	bmrC	ABC transporter ATP-binding protein	transport
WP_044802245.1	WP_039072769.1	gene-ACSAL1_RS09570	-2.128552910239919	gene-ACZ0AN_RS10740	1.3638597986156256	opposite	gltD	glutamate synthase small subunit	gltD	glutamate synthase small subunit	transport
WP_017419163.1	WP_075213253.1	gene-ACSAL1_RS03060	1.0188873581035778	gene-ACZ0AN_RS09500	1.902885976330414	conserved_up		APC family permease		APC family permease	transport
WP_025649477.1	WP_035338811.1	gene-ACSAL1_RS07890	-1.7906085037229265	gene-ACZ0AN_RS08595	2.5563710273285105	opposite	pyrP	uracil permease PyrP	pyrP	uracil permease PyrP	transport
