ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product
WP_003151443.1	WP_023856371.1	gene-ACSAL1_RS16495	-1.4459246088366593	gene-ACZ0AN_RS18595	2.1840398866518806	opposite		hypothetical protein		hypothetical protein
WP_003151660.1	WP_020452993.1	gene-ACSAL1_RS15845	1.6800792678979262	gene-ACZ0AN_RS18085	2.3590116971797395	conserved_up		GbsR/MarR family transcriptional regulator		GbsR/MarR family transcriptional regulator
WP_003151688.1	WP_009329604.1	gene-ACSAL1_RS15760	1.708702697546316	gene-ACZ0AN_RS18025	1.8390452120380625	conserved_up	smpB	SsrA-binding protein	smpB	SsrA-binding protein SmpB
WP_003151806.1	WP_020452898.1	gene-ACSAL1_RS15410	3.195806192080932	gene-ACZ0AN_RS17505	3.0772648860083547	conserved_up		YvzF family protein		YvzF family protein
WP_003151843.1	WP_020452880.1	gene-ACSAL1_RS15285	2.975119196944257	gene-ACZ0AN_RS17385	-2.691901269320946	opposite		arsenate reductase family protein		arsenate reductase family protein
WP_007410406.1	WP_020449870.1	gene-ACSAL1_RS00830	1.6407189940773474	gene-ACZ0AN_RS00840	-1.2063548192422011	opposite	secY	preprotein translocase subunit SecY	secY	preprotein translocase subunit SecY
WP_007610283.1	WP_373367315.1	gene-ACSAL1_RS04770	-2.913600064555231	gene-ACZ0AN_RS05140	-1.0711044514124992	conserved_down		CBS domain-containing protein		CBS domain-containing protein
WP_014416712.1	WP_229079034.1	gene-ACSAL1_RS00120	1.2172034992989538	gene-ACZ0AN_RS00135	5.2175676615197455	conserved_up		cysteine hydrolase family protein		cysteine hydrolase family protein
WP_014416732.1	WP_035337495.1	gene-ACSAL1_RS00405	1.4943052172992564	gene-ACZ0AN_RS00420	-1.699444508216135	opposite		protein kinase domain-containing protein		protein kinase domain-containing protein
WP_014419051.1	WP_212110215.1	gene-ACSAL1_RS16980	-1.108740975137642	gene-ACZ0AN_RS10015	1.3378976246494805	opposite		flavin reductase family protein		flavin reductase family protein
WP_087920760.1	WP_023857495.1	gene-ACSAL1_RS06330	-5.864729763497474	gene-ACZ0AN_RS12410	-2.03275570388518	conserved_down		Rap family tetratricopeptide repeat protein		Rap family tetratricopeptide repeat protein
WP_007408448.1	WP_463315651.1	gene-ACSAL1_RS04765	1.7268055668652609	gene-ACZ0AN_RS05135	2.352357415295325	conserved_up		DUF5365 family protein		DUF5365 family protein
WP_007610880.1	WP_262352115.1	gene-ACSAL1_RS06695	5.174352956865405	gene-ACZ0AN_RS07355	1.7804568924426	conserved_up		organic hydroperoxide resistance protein		organic hydroperoxide resistance protein
