ve_protein	pa_protein	identity	alignment_length	mismatches	gapopen	qstart	qend	sstart	send	evalue	bitscore
WP_003150668.1	WP_031304995.1	0.724	69	19	0	1	69	1	69	1.737e-32	115
WP_003150714.1	WP_020449771.1	0.972	294	8	0	1	294	1	294	1.4939999999999999e-186	572
WP_003150717.1	WP_020449769.1	0.926	488	36	0	1	488	1	488	5.829e-304	922
WP_003150863.1	WP_003186297.1	0.881	101	12	0	1	101	1	101	1.657e-56	186
WP_003150875.1	WP_003186284.1	0.756	78	19	0	1	78	1	78	1.602e-37	130
WP_003150908.1	WP_023856984.1	0.828	298	51	0	1	298	1	298	3.5680000000000004e-172	531
WP_003151249.1	WP_020453204.1	0.648	108	38	0	1	108	1	108	1.5430000000000001e-46	158
WP_003151259.1	WP_020453188.1	0.659	47	16	0	1	47	1	47	6.674e-17	69
WP_003151337.1	WP_023857157.1	0.882	393	46	0	1	393	1	393	6.081e-238	726
WP_003151373.1	WP_020453132.1	0.657	219	75	0	1	219	1	219	1.088e-92	297
WP_003151387.1	WP_020453118.1	0.733	278	74	0	1	278	1	277	1.222e-139	436
WP_003151407.1	WP_020453103.1	0.563	133	58	0	1	133	1	133	2.628e-50	170
WP_003151443.1	WP_023856371.1	0.415	77	44	0	1	77	1	76	1.818e-14	64
WP_003151491.1	WP_026580154.1	0.822	152	27	0	1	152	1	152	9.097e-89	282
WP_003151570.1	WP_003185491.1	0.9	70	7	0	1	70	1	70	1.071e-38	133
WP_003151611.1	WP_020453005.1	0.943	335	19	0	1	335	1	335	2.674e-209	640
WP_003151618.1	WP_020453003.1	0.909	253	23	0	1	253	1	253	5.725e-151	467
WP_003151620.1	WP_020453002.1	0.886	511	58	0	1	511	1	511	3.661e-312	947
WP_003151625.1	WP_020453001.1	0.979	430	9	0	1	430	1	430	1.754e-279	848
WP_003151651.1	WP_020452992.1	0.84	377	60	0	1	377	1	377	2.863e-213	654
WP_003151654.1	WP_035337716.1	0.857	217	31	0	1	217	1	217	1.009e-126	395
WP_003151660.1	WP_020452993.1	0.719	178	49	0	1	177	1	178	1.849e-83	268
WP_003151681.1	WP_003185418.1	0.815	76	14	0	1	76	1	76	2.2119999999999998e-33	118
WP_003151688.1	WP_009329604.1	0.935	155	10	0	1	155	1	155	8.911e-98	308
WP_003151723.1	WP_020452956.1	0.775	98	22	0	4	101	5	101	9.650000000000001e-46	155
WP_003151759.1	WP_023856262.1	0.696	155	47	0	1	155	1	155	5.902e-71	231
WP_003151778.1	WP_228767692.1	0.833	48	8	0	27	74	1	48	7.134e-23	88
WP_003151779.1	WP_020452923.1	0.701	238	70	0	1	235	1	238	1.358e-108	344
WP_003151783.1	WP_023856250.1	0.756	263	64	0	1	263	1	263	1.178e-130	409
WP_003151794.1	WP_130569246.1	0.586	243	99	0	1	243	3	243	1.2989999999999998e-93	301
WP_003151796.1	WP_023856232.1	0.722	353	97	0	1	351	1	353	1.734e-165	515
WP_003151798.1	WP_249726851.1	0.823	210	37	0	1	209	1	210	8.801e-108	340
WP_003151806.1	WP_020452898.1	0.745	55	14	0	1	55	1	55	1.238e-24	92
WP_003151813.1	WP_023856226.1	0.791	225	47	0	1	225	1	224	1.3949999999999999e-118	372
WP_003151836.1	WP_020452884.1	0.77	48	10	0	1	46	1	48	5.634e-18	72
WP_003151843.1	WP_020452880.1	0.83	118	20	0	1	118	1	118	5.961e-67	217
WP_003151847.1	WP_026580080.1	0.653	98	34	0	1	98	1	98	8.241e-42	144
WP_003151877.1	WP_020452866.1	0.87	147	19	0	1	147	1	147	4.532e-84	268
WP_003151928.1	WP_003184977.1	0.912	91	8	0	1	91	1	91	4.797e-56	184
WP_003151973.1	WP_020452200.1	0.443	78	42	0	34	111	38	114	1.426e-14	66
WP_003153177.1	WP_463315569.1	0.928	266	19	0	1	266	1	266	3.7650000000000003e-162	500
WP_003153241.1	WP_020452102.1	0.916	469	39	0	1	469	1	469	1.607e-291	885
WP_003153290.1	WP_095291529.1	0.764	319	75	0	1	319	1	319	2.736e-166	515
WP_003153317.1	WP_026579348.1	0.793	184	38	0	1	184	1	184	4.046e-95	302
WP_003153322.1	WP_020453441.1	0.916	468	39	0	8	475	7	474	1.504e-286	871
WP_003153330.1	WP_003183178.1	0.932	149	10	0	1	149	1	149	1.033e-92	293
WP_003153347.1	WP_020452032.1	0.883	146	17	0	1	146	1	146	2.14e-83	266
WP_003153438.1	WP_020451964.1	0.949	492	25	0	1	492	1	492	1.39e-313	950
WP_003153449.1	WP_023857455.1	0.826	75	13	0	1	75	1	75	1.3809999999999999e-37	130
WP_003153482.1	WP_020451944.1	0.887	178	20	0	1	178	1	178	8.431e-110	344
WP_003153525.1	WP_009328007.1	0.617	34	13	0	1	34	1	34	1.739e-09	47
WP_003155745.1	WP_003179568.1	0.912	103	9	0	1	101	1	103	3.505e-57	188
WP_003155941.1	WP_020450334.1	0.957	544	23	0	1	544	1	544	0.0	1017
WP_003156375.1	WP_020450121.1	0.807	234	45	0	1	234	1	234	3.2340000000000004e-122	383
WP_003156398.1	WP_023855926.1	0.84	363	58	0	1	363	1	363	1.408e-204	628
WP_003156407.1	WP_020449842.1	0.891	157	17	0	1	157	1	157	1.309e-94	299
WP_003156413.1	WP_023855918.1	0.871	249	32	0	1	249	1	249	3.105e-147	456
WP_004392910.1	WP_003178084.1	0.871	70	9	0	1	70	1	70	2.524e-37	129
WP_004392969.1	WP_020453645.1	0.676	204	66	0	1	204	1	204	6.658e-91	291
WP_004392975.1	WP_026580414.1	0.926	366	27	0	1	366	1	366	2.586e-225	688
WP_007408891.1	WP_020450429.1	0.784	440	95	0	1	440	1	440	2.1819999999999997e-229	704
WP_007408934.1	WP_020450859.1	0.505	87	43	0	1	87	1	87	1.156e-29	108
WP_007409404.1	WP_026579353.1	0.755	213	52	0	1	213	1	213	9.638e-109	343
WP_007409703.1	WP_009328555.1	0.944	143	8	0	1	143	1	143	9.4e-91	287
WP_007409730.1	WP_023857237.1	0.857	364	52	0	1	364	1	364	5.3860000000000004e-216	661
WP_007410400.1	WP_023855913.1	0.959	396	16	0	1	396	1	396	1.34e-256	780
WP_007410406.1	WP_020449870.1	0.83	431	73	0	1	431	1	431	2.418e-241	738
WP_007610283.1	WP_373367315.1	0.759	129	31	0	8	136	1	129	3.0439999999999997e-60	199
WP_007610363.1	WP_023856545.1	0.45	40	21	0	1	40	1	40	2.922e-08	44
WP_007610501.1	WP_025811702.1	0.52	123	59	0	18	140	19	141	1.607e-38	138
WP_014416712.1	WP_229079034.1	0.689	161	50	0	22	182	1	161	2.8159999999999998e-73	239
WP_014416732.1	WP_035337495.1	0.614	344	128	0	2	333	1	344	5.368e-139	437
WP_014417149.1	WP_023856932.1	0.802	639	126	0	1	639	1	639	0.0	1099
WP_014417176.1	WP_020450531.1	0.655	260	89	0	1	260	1	259	5.344e-114	361
WP_014418775.1	WP_197407116.1	0.717	410	115	0	1	407	1	410	1.4870000000000002e-200	619
WP_014418825.1	WP_023856213.1	0.702	276	80	0	1	271	1	276	6.52e-124	390
WP_014419051.1	WP_212110215.1	0.453	194	103	0	12	205	12	201	9.582999999999999e-53	181
WP_014419072.1	WP_095291475.1	0.628	285	106	0	1	285	1	285	3.888e-119	377
WP_014419080.1	WP_003185936.1	0.844	116	18	0	1	116	1	116	3.989e-62	203
WP_014419238.1	WP_026580333.1	0.79	410	86	0	1	410	1	410	7.3369999999999995e-227	695
WP_014419289.1	WP_020453541.1	0.892	344	37	0	1	344	1	344	1.521e-211	647
