ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category
WP_003150717.1	WP_020449769.1	gene-ACSAL1_RS00070	-3.594941403303482	gene-ACZ0AN_RS00070	-1.3124370474824931	conserved_down	guaB	IMP dehydrogenase	guaB	IMP dehydrogenase	K00088	IMP dehydrogenase [EC:1.1.1.205]	unclassified
WP_003151337.1	WP_023857157.1	gene-ACSAL1_RS16880	4.862568613443718	gene-ACZ0AN_RS19045	2.7795226158647184	conserved_up	pgsB	poly-gamma-glutamate synthase PgsB	pgsB	poly-gamma-glutamate synthase PgsB	K01932	gamma-polyglutamate synthase [EC:6.3.2.-]	poly_gamma_glutamate;transport
WP_003151443.1	WP_023856371.1	gene-ACSAL1_RS16495	-1.4459246088366593	gene-ACZ0AN_RS18595	2.1840398866518806	opposite		hypothetical protein		hypothetical protein			unclassified
WP_003151491.1	WP_026580154.1	gene-ACSAL1_RS16350	2.095650487387629	gene-ACZ0AN_RS18465	-2.057759783916704	opposite		8-oxo-dGTP diphosphatase		8-oxo-dGTP diphosphatase			unclassified
WP_003151611.1	WP_020453005.1	gene-ACSAL1_RS15950	-2.03928138049859	gene-ACZ0AN_RS18155	2.2170622265576028	opposite	gap	type I glyceraldehyde-3-phosphate dehydrogenase	gap	type I glyceraldehyde-3-phosphate dehydrogenase	K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	unclassified
WP_003151660.1	WP_020452993.1	gene-ACSAL1_RS15845	1.6800792678979262	gene-ACZ0AN_RS18085	2.3590116971797395	conserved_up		GbsR/MarR family transcriptional regulator		GbsR/MarR family transcriptional regulator	K22301	HTH-type transcriptional regulator, osmoprotectant uptake regulator	glycine_betaine_choline;regulation
WP_003151688.1	WP_009329604.1	gene-ACSAL1_RS15760	1.708702697546316	gene-ACZ0AN_RS18025	1.8390452120380625	conserved_up	smpB	SsrA-binding protein	smpB	SsrA-binding protein SmpB	K03664	SsrA-binding protein	unclassified
WP_003151759.1	WP_023856262.1	gene-ACSAL1_RS15565	4.899877917679287	gene-ACZ0AN_RS17700	3.2250492063192286	conserved_up		metal-dependent hydrolase		metal-dependent hydrolase	K07038	inner membrane protein	unclassified
WP_003151783.1	WP_023856250.1	gene-ACSAL1_RS15485	1.928679056624332	gene-ACZ0AN_RS17620	1.771773659828173	conserved_up		SDR family NAD(P)-dependent oxidoreductase		SDR family NAD(P)-dependent oxidoreductase			oxidative_stress
WP_003151806.1	WP_020452898.1	gene-ACSAL1_RS15410	3.195806192080932	gene-ACZ0AN_RS17505	3.0772648860083547	conserved_up		YvzF family protein		YvzF family protein			unclassified
WP_003151843.1	WP_020452880.1	gene-ACSAL1_RS15285	2.975119196944257	gene-ACZ0AN_RS17385	-2.691901269320946	opposite		arsenate reductase family protein		arsenate reductase family protein			unclassified
WP_003151973.1	WP_020452200.1	gene-ACSAL1_RS14950	-6.050197136585435	gene-ACZ0AN_RS13440	-3.2836979957405035	conserved_down		uberolysin/carnocyclin family circular bacteriocin		uberolysin/carnocyclin family circular bacteriocin			unclassified
WP_003153347.1	WP_020452032.1	gene-ACSAL1_RS10985	-5.253889382658988	gene-ACZ0AN_RS12480	-2.180841746106453	conserved_down	spoIIAB	anti-sigma F factor	spoIIAB	anti-sigma F factor	K06379	stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]	unclassified
WP_003153347.1	WP_020452032.1	gene-ACSAL1_RS10985	-5.253889382658988	gene-ACZ0AN_RS12480	-2.180841746106453	conserved_down	spoIIAB	anti-sigma F factor	spoIIAB	anti-sigma F factor	K04757	serine/threonine-protein kinase RsbW [EC:2.7.11.1]	unclassified
WP_003155941.1	WP_020450334.1	gene-ACSAL1_RS03185	-1.8605789506396115	gene-ACZ0AN_RS03250	-3.756101983008577	conserved_down	groL	chaperonin GroEL	groL	chaperonin GroEL	K04077	chaperonin GroEL [EC:5.6.1.7]	unclassified
WP_003156375.1	WP_020450121.1	gene-ACSAL1_RS01825	2.398318167990748	gene-ACZ0AN_RS02140	-3.155361437405906	opposite		amino acid ABC transporter permease		amino acid ABC transporter permease	K10009	L-cystine transport system permease protein	transport
WP_003156375.1	WP_020450121.1	gene-ACSAL1_RS01825	2.398318167990748	gene-ACZ0AN_RS02140	-3.155361437405906	opposite		amino acid ABC transporter permease		amino acid ABC transporter permease	K02029	polar amino acid transport system permease protein	transport
WP_007409730.1	WP_023857237.1	gene-ACSAL1_RS07905	-4.053992359104057	gene-ACZ0AN_RS08610	2.311764166423125	opposite		carbamoyl phosphate synthase small subunit		carbamoyl phosphate synthase small subunit	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	unclassified
WP_007410406.1	WP_020449870.1	gene-ACSAL1_RS00830	1.6407189940773474	gene-ACZ0AN_RS00840	-1.2063548192422011	opposite	secY	preprotein translocase subunit SecY	secY	preprotein translocase subunit SecY	K03076	preprotein translocase subunit SecY	unclassified
WP_007610283.1	WP_373367315.1	gene-ACSAL1_RS04770	-2.913600064555231	gene-ACZ0AN_RS05140	-1.0711044514124992	conserved_down		CBS domain-containing protein		CBS domain-containing protein			unclassified
WP_014416712.1	WP_229079034.1	gene-ACSAL1_RS00120	1.2172034992989538	gene-ACZ0AN_RS00135	5.2175676615197455	conserved_up		cysteine hydrolase family protein		cysteine hydrolase family protein			unclassified
