gene_id	protein_id	gene_symbol	product
gene-ACSAL1_RS00005	WP_004392913.1	dnaA	chromosomal replication initiator protein DnaA
gene-ACSAL1_RS00010	WP_014416704.1	dnaN	DNA polymerase III subunit beta
gene-ACSAL1_RS00015	WP_004392910.1	rlbA	ribosome maturation protein RlbA
gene-ACSAL1_RS00020	WP_007409910.1	recF	DNA replication/repair protein RecF
gene-ACSAL1_RS00025	WP_004392908.1	remB	extracellular matrix regulator RemB
gene-ACSAL1_RS00030	WP_014720600.1	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B
gene-ACSAL1_RS00035	WP_014416706.1	gyrA	DNA gyrase subunit A
gene-ACSAL1_RS00065	WP_031304321.1		YaaC family protein
gene-ACSAL1_RS00070	WP_003150717.1	guaB	IMP dehydrogenase
gene-ACSAL1_RS00075	WP_011996156.1	dacA	D-alanyl-D-alanine carboxypeptidase
gene-ACSAL1_RS00080	WP_003150714.1	pdxS	pyridoxal 5'-phosphate synthase lyase subunit PdxS
gene-ACSAL1_RS00085	WP_007615126.1	pdxT	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
gene-ACSAL1_RS00090	WP_007408744.1	serS	serine--tRNA ligase
gene-ACSAL1_RS00095	WP_209387807.1		glycerate kinase
gene-ACSAL1_RS00105	WP_029974845.1	dck	deoxyadenosine/deoxycytidine kinase
gene-ACSAL1_RS00110	WP_017419506.1	dgk	deoxyguanosine kinase
gene-ACSAL1_RS00115	WP_209388311.1		glycoside hydrolase family 18 protein
gene-ACSAL1_RS00120	WP_014416712.1		cysteine hydrolase family protein
gene-ACSAL1_RS00125	WP_007615141.1	tadA	tRNA adenosine(34) deaminase TadA
gene-ACSAL1_RS00135	WP_209387808.1	dnaX	DNA polymerase III subunit gamma/tau
gene-ACSAL1_RS00140	WP_003150700.1		YbaB/EbfC family nucleoid-associated protein
gene-ACSAL1_RS00145	WP_003150697.1	recR	recombination protein RecR
gene-ACSAL1_RS00150	WP_007408755.1		YaaL family protein
gene-ACSAL1_RS00155	WP_003150686.1		pro-sigmaK processing inhibitor BofA family protein
gene-ACSAL1_RS00185	WP_004264749.1		sigma factor G inhibitor Gin
gene-ACSAL1_RS00190	WP_014416714.1		5-bromo-4-chloroindolyl phosphate hydrolysis family protein
gene-ACSAL1_RS00195	WP_209387809.1		toxic anion resistance protein
gene-ACSAL1_RS00200	WP_209387810.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
gene-ACSAL1_RS00205	WP_007615155.1	tmk	dTMP kinase
gene-ACSAL1_RS00210	WP_004264734.1	darA	cyclic di-AMP receptor DarA
gene-ACSAL1_RS00215	WP_004264730.1		YaaR family protein
gene-ACSAL1_RS00220	WP_007409919.1	holB	DNA polymerase III subunit delta'
gene-ACSAL1_RS00225	WP_004264723.1	ricT	competence/sporulation regulator complex protein RicT
gene-ACSAL1_RS00230	WP_004264720.1	yabA	replication initiation-control protein YabA
gene-ACSAL1_RS00235	WP_209387811.1		tRNA1(Val) (adenine(37)-N6)-methyltransferase
gene-ACSAL1_RS00240	WP_007409921.1		GIY-YIG nuclease family protein
gene-ACSAL1_RS00245	WP_017419497.1	rsmI	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
gene-ACSAL1_RS00250	WP_169510469.1	abrB	transition state genes transcriptional regulator AbrB
gene-ACSAL1_RS00255	WP_209387812.1	metG	methionine--tRNA ligase
gene-ACSAL1_RS00260	WP_021494159.1		TatD family hydrolase
gene-ACSAL1_RS00265	WP_209387813.1		resuscitation-promoting factor
gene-ACSAL1_RS00270	WP_004264696.1	rnmV	ribonuclease M5
gene-ACSAL1_RS00275	WP_004264694.1	rsmA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
gene-ACSAL1_RS00280	WP_004264691.1	yabG	sporulation peptidase YabG
gene-ACSAL1_RS00285	WP_003218330.1	veg	biofilm formation stimulator Veg
gene-ACSAL1_RS00290	WP_011996172.1		small%2C acid-soluble spore protein%2C alpha/beta type
gene-ACSAL1_RS00295	WP_007409927.1	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
gene-ACSAL1_RS00300	WP_004264666.1	purR	pur operon repressor
gene-ACSAL1_RS00305	WP_004264663.1	ridA	2-iminobutanoate/2-iminopropanoate deaminase
gene-ACSAL1_RS00310	WP_004264660.1	spoVG	septation regulator SpoVG
gene-ACSAL1_RS00315	WP_004264658.1	glmU	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
gene-ACSAL1_RS00320	WP_004264656.1		ribose-phosphate diphosphokinase
gene-ACSAL1_RS00325	WP_014416724.1		50S ribosomal protein L25/general stress protein Ctc
gene-ACSAL1_RS00330	WP_015239025.1	pth	aminoacyl-tRNA hydrolase
gene-ACSAL1_RS00335	WP_004264650.1	fin	anti-sigma-F factor Fin
gene-ACSAL1_RS00340	WP_209387814.1	mfd	transcription-repair coupling factor
gene-ACSAL1_RS00345	WP_004264646.1	spoVT	stage V sporulation protein T
gene-ACSAL1_RS00350	WP_209387815.1		putative polysaccharide biosynthesis protein
gene-ACSAL1_RS00355	WP_007615180.1	yabN	bifunctional methyltransferase/pyrophosphohydrolase YabN
gene-ACSAL1_RS00360	WP_007409934.1		RNA-binding S4 domain-containing protein
gene-ACSAL1_RS00365	WP_004264638.1	yabP	sporulation protein YabP
gene-ACSAL1_RS00370	WP_014416729.1	yabQ	spore cortex biosynthesis protein YabQ
gene-ACSAL1_RS00375	WP_014416730.1	divIC	cell division protein DivIC
gene-ACSAL1_RS00380	WP_004264630.1		S1 domain-containing RNA-binding protein
gene-ACSAL1_RS00395	WP_209387816.1	spoIIE	stage II sporulation protein E
gene-ACSAL1_RS00400	WP_004264624.1		vWA domain-containing protein
gene-ACSAL1_RS00405	WP_014416732.1		protein kinase domain-containing protein
gene-ACSAL1_RS00410	WP_061862606.1	tilS	tRNA lysidine(34) synthetase TilS
gene-ACSAL1_RS00415	WP_004264611.1	hpt	hypoxanthine phosphoribosyltransferase
gene-ACSAL1_RS00420	WP_004264608.1	ftsH	ATP-dependent zinc metalloprotease FtsH
gene-ACSAL1_RS00425	WP_007409940.1		type III pantothenate kinase
gene-ACSAL1_RS00430	WP_004264606.1	hslO	Hsp33 family molecular chaperone HslO
gene-ACSAL1_RS00435	WP_045206448.1		peptidyl-prolyl cis-trans isomerase
gene-ACSAL1_RS00440	WP_007615206.1	cysK	cysteine synthase A
gene-ACSAL1_RS00445	WP_025650395.1	pabB	aminodeoxychorismate synthase%2C component I
gene-ACSAL1_RS00450	WP_007409944.1	pabA	aminodeoxychorismate/anthranilate synthase component II
gene-ACSAL1_RS00455	WP_115941249.1	pabC	aminodeoxychorismate lyase
gene-ACSAL1_RS00460	WP_209387817.1	folP	dihydropteroate synthase
gene-ACSAL1_RS00465	WP_014416738.1	folB	dihydroneopterin aldolase
gene-ACSAL1_RS00470	WP_007409947.1	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
gene-ACSAL1_RS00475	WP_003150668.1		helix-turn-helix domain-containing protein
gene-ACSAL1_RS00480	WP_209387818.1	dusB	tRNA dihydrouridine synthase DusB
gene-ACSAL1_RS00485	WP_014416740.1	lysS	lysine--tRNA ligase
gene-ACSAL1_RS00565	WP_003156396.1	ctsR	transcriptional regulator CtsR
gene-ACSAL1_RS00570	WP_003156397.1	mcsA	protein-arginine kinase activator protein McsA
gene-ACSAL1_RS00575	WP_003156398.1	mcsB	protein-arginine kinase McsB
gene-ACSAL1_RS00580	WP_007410388.1	clpC	ATP-dependent protease ATP-binding subunit ClpC
gene-ACSAL1_RS00585	WP_014416742.1	radA	DNA repair protein RadA
gene-ACSAL1_RS00590	WP_003156401.1	disA	DNA integrity scanning diadenylate cyclase DisA
gene-ACSAL1_RS00595	WP_003156403.1		PIN/TRAM domain-containing protein
gene-ACSAL1_RS00600	WP_017419469.1	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
gene-ACSAL1_RS00605	WP_003156407.1	ispF	2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase
gene-ACSAL1_RS00610	WP_209387819.1	gltX	glutamate--tRNA ligase
gene-ACSAL1_RS00615	WP_003156410.1	cysE	serine O-acetyltransferase
gene-ACSAL1_RS00620	WP_022552483.1	cysS	cysteine--tRNA ligase
