* WP_003150686.1      K06317   32.30   85.8   4.1e-25 inhibitor of the pro-sigma K processing machinery
* WP_003150697.1      K06187  119.73  356.0  6.2e-107 recombination protein RecR
* WP_003150700.1      K09747   45.57  155.2   2.6e-46 nucleoid-associated protein EbfC
* WP_003150714.1      K06215  100.77  545.5  1.1e-164 pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]
* WP_003150717.1      K00088  358.40  715.0  1.6e-215 IMP dehydrogenase [EC:1.1.1.205]
* WP_003150863.1      K02760   63.90  128.1   5.3e-38 cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]
* WP_003150867.1      K02759   38.60  151.1   3.8e-45 cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]
* WP_003150875.1      K14188   61.20  118.3   1.9e-35 D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]
* WP_003150909.1      K00878  103.40  335.0  9.6e-101 hydroxyethylthiazole kinase [EC:2.7.1.50]
* WP_003150917.1      K19432   61.97   76.3     2e-22 anti-repressor of SlrR
* WP_003150930.1      K02828  280.07  311.7   3.5e-94 cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]
* WP_003151011.1      K00435  256.07  321.5   7.2e-97 hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]
* WP_003151012.1      K00625  390.43  429.3  3.1e-129 phosphate acetyltransferase [EC:2.3.1.8]
* WP_003151035.1      K06885  293.47  480.6  1.5e-144 uncharacterized protein
* WP_003151042.1      K01821   24.53   71.1   1.4e-20 4-oxalocrotonate tautomerase [EC:5.3.2.6]
* WP_003151052.1      K00797  122.33  344.3  2.2e-103 spermidine synthase [EC:2.5.1.16]
* WP_003151064.1      K07729   57.93   84.5   1.4e-24 putative transcriptional regulator
* WP_003151098.1      K01937  102.30  871.0  1.3e-262 CTP synthase [EC:6.3.4.2]
* WP_003151102.1      K01624   63.77  393.0  5.9e-118 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
* WP_003151103.1      K00616  137.23  193.8   8.4e-58 transaldolase [EC:2.2.1.2]
* WP_003151107.1      K03628  190.57  706.9  2.6e-213 transcription termination factor Rho
* WP_003151132.1      K02909   22.47  112.6   2.2e-33 large subunit ribosomal protein L31
* WP_003151139.1      K02835  365.97  533.2  2.2e-160 peptide chain release factor 1
* WP_003151149.1      K01808  175.07  239.6   6.6e-72 ribose 5-phosphate isomerase B [EC:5.3.1.6]
* WP_003151167.1      K02110   67.73   77.6   1.8e-22 F-type H+-transporting ATPase subunit c
* WP_003151168.1      K02109   41.97  133.0   3.6e-39 F-type H+-transporting ATPase subunit b
* WP_003151169.1      K02113   49.43  148.6   5.4e-44 F-type H+-transporting ATPase subunit delta
* WP_003151172.1      K02115  244.07  376.5  2.4e-113 F-type H+-transporting ATPase subunit gamma
* WP_003151173.1      K02112  456.03  867.7  6.8e-262 F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
* WP_003151176.1      K02114   97.53  147.3   8.1e-44 F-type H+-transporting ATPase subunit epsilon
* WP_003151198.1      K01430  178.40  191.2   1.9e-57 urease subunit gamma [EC:3.5.1.5]
* WP_003151199.1      K01429  172.60  173.8   6.4e-52 urease subunit beta [EC:3.5.1.5]
* WP_003151223.1      K03320  153.47  457.9  6.6e-138 ammonium transporter, Amt family
* WP_003151236.1      K06283   43.37  170.3   2.2e-51 putative DeoR family transcriptional regulator, stage III sporulation protein D
* WP_003151237.1      K03569  119.00  514.8  2.3e-155 rod shape-determining protein MreB and related proteins
* WP_003151242.1      K02372   71.63  226.9   7.9e-68 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
* WP_003151249.1      K03111   22.87  138.2     7e-41 single-strand DNA-binding protein
* WP_003151250.1      K22103  254.87  365.7  1.6e-110 DeoR family transcriptional regulator, carbon catabolite repression regulator
* WP_003151318.1      K01575   82.43  339.0  3.4e-102 acetolactate decarboxylase [EC:4.1.1.5]
* WP_003151337.1      K01932  143.33  503.7  1.1e-151 gamma-polyglutamate synthase [EC:6.3.2.-]
* WP_003151340.1      K22116   57.70  141.4   6.8e-42 gamma-polyglutamate biosynthesis protein CapC
* WP_003151361.1      K00980  121.47  218.2   1.1e-65 glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]
* WP_003151382.1      K02851  238.60  405.0  9.4e-122 UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]
* WP_003151387.1      K25232   95.57  328.6   1.1e-98 fatty acid kinase fatty acid binding subunit
* WP_003151393.1      K02398   24.97   69.4     1e-19 negative regulator of flagellin synthesis FlgM
* WP_003151402.1      K03563   25.57   92.8   3.1e-27 carbon storage regulator
* WP_003151407.1      K02422   26.50  155.6   2.7e-46 flagellar secretion chaperone FliS
* WP_003151439.1      K03702  337.30 1163.2         0 excinuclease ABC subunit B
* WP_003151456.1      K06023  123.50  454.2  1.2e-136 HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
* WP_003151503.1      K01673   19.03   77.9   1.1e-22 carbonic anhydrase [EC:4.2.1.1]
* WP_003151513.1      K01358   73.70  368.3  6.3e-111 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* WP_003151607.1      K05311  215.10  487.8  2.1e-147 central glycolytic genes regulator
* WP_003151611.1      K00134  403.30  533.7  6.6e-161 glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
* WP_003151616.1      K00927  113.27  654.8    2e-197 phosphoglycerate kinase [EC:2.7.2.3]
* WP_003151618.1      K01803   27.83  352.8  4.3e-106 triosephosphate isomerase (TIM) [EC:5.3.1.1]
* WP_003151620.1      K15633   73.87  830.0  2.9e-250 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
* WP_003151625.1      K01689  241.33  726.7  3.2e-219 enolase 1/2/3 [EC:4.2.1.11]
* WP_003151651.1      K05847  356.20  496.1    2e-149 osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
* WP_003151654.1      K05846  179.87  298.0   3.1e-89 osmoprotectant transport system permease protein
* WP_003151660.1      K22301  235.43  291.6   3.8e-88 HTH-type transcriptional regulator, osmoprotectant uptake regulator
* WP_003151681.1      K03075   25.10   80.1   3.6e-23 preprotein translocase subunit SecG
* WP_003151688.1      K03664   39.53  250.4   2.9e-75 SsrA-binding protein
* WP_003151723.1      K21600   83.47  133.5   1.7e-39 CsoR family transcriptional regulator, copper-sensing transcriptional repressor
* WP_003151759.1      K07038   28.70   98.2   9.3e-29 inner membrane protein
* WP_003151778.1      K26990   49.27   90.2   1.2e-26 sigma-O factor regulatory protein RsoA
* WP_003151794.1      K11622   77.37  249.4   7.1e-75 lia operon protein LiaF
* WP_003151796.1      K11617  243.70  401.1  8.3e-121 two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]
* WP_003151798.1      K11618  287.10  306.8   1.2e-92 two-component system, NarL family, response regulator LiaR
* WP_003151813.1      K07770  275.60  339.7  1.3e-102 two-component system, OmpR family, response regulator CssR
* WP_003151844.1      K02437   35.53  191.1   3.3e-57 glycine cleavage system H protein
* WP_003151850.1      K02071  329.90  515.3  2.6e-155 D-methionine transport system ATP-binding protein
* WP_003151851.1      K02072  123.07  303.4   2.4e-91 D-methionine transport system permease protein
* WP_003151877.1      K04488  142.63  188.7     3e-56 nitrogen fixation protein NifU and related proteins
* WP_003151895.1      K10119  294.90  352.3    4e-106 raffinose/stachyose/melibiose transport system permease protein
* WP_003151895.1      K02026  276.57  308.6   8.5e-93 multiple sugar transport system permease protein
* WP_003151923.1      K03644  167.20  490.7  7.4e-148 lipoyl synthase [EC:2.8.1.8]
* WP_003151967.1      K15724  142.77  165.6   1.4e-49 iron-sulfur cluster insertion protein
* WP_003152011.1      K00259  287.10  603.5  3.1e-182 alanine dehydrogenase [EC:1.4.1.1]
