WP_003151042.1	K01821	24.53	71.1	1.3e-21	4-oxalocrotonate tautomerase [EC:5.3.2.6]
WP_003151176.1	K02114	97.53	147.3	7.2e-45	F-type H+-transporting ATPase subunit epsilon
WP_003151223.1	K03320	153.47	457.9	5.8e-139	ammonium transporter, Amt family
WP_003151456.1	K06023	123.50	454.2	1.1e-137	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
WP_003151503.1	K01673	19.03	77.9	1e-23	carbonic anhydrase [EC:4.2.1.1]
WP_003151611.1	K00134	403.30	533.7	5.8e-162	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
WP_003152013.1	K14956	27.43	49.6	7e-15	ESAT-6 family protein
WP_003152530.1	K01889	89.60	377.4	2.2e-114	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
WP_003152598.1	K01653	47.90	221.5	2.7e-67	acetolactate synthase I/III small subunit [EC:2.2.1.6]
WP_003152606.1	K01703	481.20	671.2	2.1e-203	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
WP_003152856.1	K00014	267.10	339.8	3.9e-103	shikimate dehydrogenase [EC:1.1.1.25]
WP_003153079.1	K16509	82.67	155.0	3.2e-47	regulatory protein spx
WP_003153246.1	K02913	21.83	49.7	5.5e-15	large subunit ribosomal protein L33
WP_003153484.1	K03886	122.57	218.9	9.4e-67	quinol---cytochrome c reductase iron-sulfur subunit, bacillus type [EC:7.1.1.8]
WP_003153619.1	K26958	169.23	227.3	9e-70	bacilliredoxin
WP_003153791.1	K01118	96.07	212.9	1.2e-64	FMN-dependent NADH-azoreductase [EC:1.7.1.17]
WP_003154312.1	K00059	273.10	383.8	1.2e-116	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
WP_003154369.1	K00390	161.83	298.1	1.6e-90	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
WP_003154690.1	K28810	32.70	77.8	6e-24	spo0E family aspartyl-phosphate phosphatase
WP_003155001.1	K00208	266.80	400.9	7.4e-122	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
WP_003155032.1	K16511	73.77	226.1	6.9e-69	adapter protein MecA 1/2
WP_003155121.1	K26937	257.90	304.9	1.3e-92	MATE family, multidrug efflux pump
WP_003155205.1	K03800	248.47	352.3	9.1e-107	lipoate---protein ligase [EC:6.3.1.20]
WP_003155211.1	K11102	518.30	631.5	6.4e-192	proton glutamate symport protein
WP_003155540.1	K21416	443.53	512.9	7.3e-156	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]
WP_003155658.1	K21902	103.97	212.9	2.9e-65	MerR family transcriptional regulator, repressor of the yfmOP operon
WP_003156375.1	K10009	315.30	383.2	2.9e-116	L-cystine transport system permease protein
WP_003156375.1	K02029	220.13	275.8	8.8e-84	polar amino acid transport system permease protein
WP_003156508.1	K02518	31.33	139.5	5.3e-43	translation initiation factor IF-1
WP_003156549.1	K03040	89.37	418.9	3e-127	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
WP_004264646.1	K04769	121.87	290.3	1e-88	AbrB family transcriptional regulator, stage V sporulation protein T
WP_007407236.1	K18924	122.50	182.6	8.2e-56	paired small multidrug resistance pump
WP_007407470.1	K05808	94.20	229.8	3.7e-70	ribosome hibernation promoting factor
WP_007407528.1	K21757	275.83	295.6	4.5e-90	LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes
WP_007407528.1	K05817	283.83	289.6	3.6e-88	LysR family transcriptional regulator, hca operon transcriptional activator
WP_007407816.1	K00756	581.80	732.5	4.1e-222	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
WP_007408146.1	K01704	125.03	259.3	6.1e-79	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]
WP_007408149.1	K03544	138.23	620.0	4.8e-188	ATP-dependent Clp protease ATP-binding subunit ClpX
WP_007408709.1	K03885	205.57	415.6	5.3e-126	NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
WP_007408816.1	K16920	341.17	404.8	1.4e-123	acetoin utilization transport system ATP-binding protein
WP_007408816.1	K02003	284.83	319.6	4.3e-97	putative ABC transport system ATP-binding protein
WP_007409122.1	K00648	232.03	449.5	2e-136	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
WP_007409202.1	K01897	436.47	484.5	8.2e-147	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]
WP_007409265.1	K00655	117.47	144.0	8.3e-44	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
WP_007409622.1	K03839	86.30	142.9	1.5e-43	flavodoxin I
WP_007409730.1	K01956	513.33	594.3	4.3e-180	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
WP_007409740.1	K02303	256.13	395.0	7.3e-120	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
WP_007409759.1	K00645	257.10	403.1	2.6e-122	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
WP_007410316.1	K06929	79.77	178.3	1.9e-54	uncharacterized protein
WP_007410406.1	K03076	209.47	543.1	1.1e-164	preprotein translocase subunit SecY
WP_007410407.1	K00939	176.47	255.0	1.5e-77	adenylate kinase [EC:2.7.4.3]
WP_007410408.1	K01265	133.03	354.8	1.4e-107	methionyl aminopeptidase [EC:3.4.11.18]
WP_007611631.1	K03713	103.43	174.9	1.2e-53	MerR family transcriptional regulator, glutamine synthetase repressor
WP_007612510.1	K02160	98.73	176.9	7.5e-54	acetyl-CoA carboxylase biotin carboxyl carrier protein
WP_007613496.1	K21567	377.77	521.0	1.8e-158	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
WP_007613715.1	K25290	391.33	430.2	5.1e-131	ferric hydroxamate/heme transport system ATP-binding protein [EC:7.2.2.16]
WP_007613715.1	K02013	240.93	334.2	1.9e-101	iron complex transport system ATP-binding protein [EC:7.2.2.-]
WP_007613715.1	K25283	143.43	189.4	1.4e-57	iron-siderophore transport system permease protein
