ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class
WP_003150717.1	WP_020449769.1	gene-ACSAL1_RS00070	-3.594941403303482	gene-ACZ0AN_RS00070	-1.3124370474824931	conserved_down
WP_003151337.1	WP_023857157.1	gene-ACSAL1_RS16880	4.862568613443718	gene-ACZ0AN_RS19045	2.7795226158647184	conserved_up
WP_003151443.1	WP_023856371.1	gene-ACSAL1_RS16495	-1.4459246088366593	gene-ACZ0AN_RS18595	2.1840398866518806	opposite
WP_003151491.1	WP_026580154.1	gene-ACSAL1_RS16350	2.095650487387629	gene-ACZ0AN_RS18465	-2.057759783916704	opposite
WP_003151611.1	WP_020453005.1	gene-ACSAL1_RS15950	-2.03928138049859	gene-ACZ0AN_RS18155	2.2170622265576028	opposite
WP_003151660.1	WP_020452993.1	gene-ACSAL1_RS15845	1.6800792678979262	gene-ACZ0AN_RS18085	2.3590116971797395	conserved_up
WP_003151688.1	WP_009329604.1	gene-ACSAL1_RS15760	1.708702697546316	gene-ACZ0AN_RS18025	1.8390452120380625	conserved_up
WP_003151759.1	WP_023856262.1	gene-ACSAL1_RS15565	4.899877917679287	gene-ACZ0AN_RS17700	3.2250492063192286	conserved_up
WP_003151783.1	WP_023856250.1	gene-ACSAL1_RS15485	1.928679056624332	gene-ACZ0AN_RS17620	1.771773659828173	conserved_up
WP_003151806.1	WP_020452898.1	gene-ACSAL1_RS15410	3.1958061920809318	gene-ACZ0AN_RS17505	3.0772648860083547	conserved_up
WP_003151843.1	WP_020452880.1	gene-ACSAL1_RS15285	2.975119196944257	gene-ACZ0AN_RS17385	-2.691901269320946	opposite
WP_003151973.1	WP_020452200.1	gene-ACSAL1_RS14950	-6.050197136585435	gene-ACZ0AN_RS13440	-3.2836979957405035	conserved_down
WP_003153347.1	WP_020452032.1	gene-ACSAL1_RS10985	-5.253889382658988	gene-ACZ0AN_RS12480	-2.180841746106453	conserved_down
WP_003155941.1	WP_020450334.1	gene-ACSAL1_RS03185	-1.8605789506396115	gene-ACZ0AN_RS03250	-3.756101983008577	conserved_down
WP_003156375.1	WP_020450121.1	gene-ACSAL1_RS01825	2.398318167990748	gene-ACZ0AN_RS02140	-3.155361437405906	opposite
WP_007409730.1	WP_023857237.1	gene-ACSAL1_RS07905	-4.053992359104057	gene-ACZ0AN_RS08610	2.311764166423125	opposite
WP_007410406.1	WP_020449870.1	gene-ACSAL1_RS00830	1.6407189940773474	gene-ACZ0AN_RS00840	-1.2063548192422011	opposite
WP_007610283.1	WP_373367315.1	gene-ACSAL1_RS04770	-2.913600064555231	gene-ACZ0AN_RS05140	-1.0711044514124992	conserved_down
