ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category	score
WP_007408329.1	WP_020452167.1	gene-ACSAL1_RS11690	-11.145716030371412	gene-ACZ0AN_RS13245	-7.891609756638836	conserved_down	tasA	biofilm matrix protein TasA	tasA	biofilm matrix protein TasA	K06336	spore coat-associated protein N	biofilm_cell_envelope	19.037325787010246
WP_015418210.1	WP_025810626.1	gene-ACSAL1_RS15650	-11.014079586223318	gene-ACZ0AN_RS19790	-6.831272881016061	conserved_down		zinc-dependent metalloprotease		zinc-dependent metalloprotease			unclassified	17.84535246723938
WP_007609269.1	WP_020452126.1	gene-ACSAL1_RS01645	-8.731497773152256	gene-ACZ0AN_RS13025	-6.096408181815178	conserved_down		antimicrobial peptide LCI		antimicrobial peptide LCI			unclassified	14.827905954967434
WP_209387319.1	WP_463315702.1	gene-ACSAL1_RS09495	-6.796985221757411	gene-ACZ0AN_RS10645	-7.180965380102754	conserved_down		non-ribosomal peptide synthetase		amino acid adenylation domain-containing protein	K15665	plipastatin/fengycin lipopeptide synthetase B	unclassified	13.977950601860165
WP_209388338.1	WP_095292205.1	gene-ACSAL1_RS09345	-7.154397350758142	gene-ACZ0AN_RS17985	-6.381306972840374	conserved_down		glycoside hydrolase family 43 protein		glycoside hydrolase family 43 protein	K15921	arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]	unclassified	13.535704323598516
WP_007407383.1	WP_025810736.1	gene-ACSAL1_RS16090	-6.241506271191187	gene-ACZ0AN_RS18245	-7.177697202871734	conserved_down		sugar transferase		sugar transferase	K19428	sugar transferase EpsL [EC:2.-.-.-]	unclassified	13.419203474062922
WP_003153100.1	WP_023855186.1	gene-ACSAL1_RS11695	-6.591601171191677	gene-ACZ0AN_RS13250	-6.706310358210987	conserved_down	sipW	signal peptidase I SipW	sipW	signal peptidase I SipW	K13280	signal peptidase I [EC:3.4.21.89]	unclassified	13.297911529402665
WP_022553816.1	WP_095292176.1	gene-ACSAL1_RS16080	-5.543662278803894	gene-ACZ0AN_RS18235	-7.456290888915862	conserved_down		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		DegT/DnrJ/EryC1/StrS family aminotransferase	K19430	pyridoxal phosphate-dependent aminotransferase EpsN [EC:2.6.1.-]	unclassified	12.999953167719756
WP_007407393.1	WP_020453031.1	gene-ACSAL1_RS16140	-6.158932079809196	gene-ACZ0AN_RS18295	-6.6385789092564265	conserved_down	epsB	protein tyrosine kinase EpsB		CpsD/CapB family tyrosine-protein kinase	K00903	protein-tyrosine kinase [EC:2.7.10.3]	unclassified	12.797510989065621
WP_209387606.1	WP_035337735.1	gene-ACSAL1_RS16075	-5.304053247834244	gene-ACZ0AN_RS18230	-7.372771665535743	conserved_down		polysaccharide pyruvyl transferase family protein		polysaccharide pyruvyl transferase family protein	K19431	pyruvyl transferase EpsO [EC:2.-.-.-]	biofilm_cell_envelope	12.676824913369988
WP_209387320.1	WP_463315703.1	gene-ACSAL1_RS09500	-6.189223140113429	gene-ACZ0AN_RS10650	-6.349762743757935	conserved_down		non-ribosomal peptide synthetase		amino acid adenylation domain-containing protein	K15664	plipastatin/fengycin lipopeptide synthetase A	unclassified	12.538985883871364
WP_209387609.1	WP_095292169.1	gene-ACSAL1_RS16100	-5.599860927765386	gene-ACZ0AN_RS18255	-6.897300896724677	conserved_down		glycosyltransferase		glycosyltransferase	K19427	glycosyltransferase EpsJ [EC:2.4.-.-]	biofilm_cell_envelope	12.497161824490064
WP_209388310.1	WP_463315701.1	gene-ACSAL1_RS09490	-6.482509195309159	gene-ACZ0AN_RS10640	-5.94605678116537	conserved_down		non-ribosomal peptide synthetase		amino acid adenylation domain-containing protein	K15666	plipastatin/fengycin lipopeptide synthetase C	unclassified	12.42856597647453
WP_209387608.1	WP_231005573.1	gene-ACSAL1_RS16095	-4.579344827486073	gene-ACZ0AN_RS18250	-7.399652832451961	conserved_down		MATE family efflux transporter		MATE family efflux transporter	K19418	membrane protein EpsK	transport	11.978997659938035
WP_209387607.1	WP_095292172.1	gene-ACSAL1_RS16085	-5.697798056811681	gene-ACZ0AN_RS18240	-6.213331683021752	conserved_down		acetyltransferase		acetyltransferase	K19429	acetyltransferase EpsM [EC:2.3.1.-]	unclassified	11.911129739833434
WP_209387610.1	WP_020453024.1	gene-ACSAL1_RS16105	-4.627131284848838	gene-ACZ0AN_RS18260	-7.2261011820334815	conserved_down		polysaccharide pyruvyl transferase family protein		polysaccharide pyruvyl transferase family protein	K19426	pyruvyl transferase EpsI [EC:2.-.-.-]	biofilm_cell_envelope	11.85323246688232
WP_209388096.1	WP_003180598.1	gene-ACSAL1_RS05760	-8.836432483973539	gene-ACZ0AN_RS06415	-2.988355215365623	conserved_down		peptide-binding protein		peptide-binding protein	K02035	peptide/nickel transport system substrate-binding protein	unclassified	11.824787699339161
WP_025650408.1	WP_023857033.1	gene-ACSAL1_RS14390	-5.780876519510483	gene-ACZ0AN_RS19875	-6.003002254306837	conserved_down	bslA	biofilm surface layer hydrophobin BslA	bslA	biofilm surface layer hydrophobin BslA			biofilm_cell_envelope	11.783878773817321
WP_209387612.1	WP_249726811.1	gene-ACSAL1_RS16120	-5.247347115945321	gene-ACZ0AN_RS18275	-6.471095816487367	conserved_down		glycosyltransferase family 1 protein		glycosyltransferase family 1 protein	K19424	glycosyltransferase EpsF [EC:2.4.-.-]	biofilm_cell_envelope	11.718442932432687
WP_209388092.1	WP_020450924.1	gene-ACSAL1_RS05695	-10.07162757888156	gene-ACZ0AN_RS06340	-1.5796372349978192	conserved_down	argF	ornithine carbamoyltransferase	argF	ornithine carbamoyltransferase	K00611	ornithine carbamoyltransferase [EC:2.1.3.3]	unclassified	11.65126481387938
WP_209387613.1	WP_020453028.1	gene-ACSAL1_RS16125	-5.160458131216826	gene-ACZ0AN_RS18280	-6.420474377033791	conserved_down	epsE	glycosyltransferase EpsE		glycosyltransferase family 2 protein	K19423	glycosyltransferase EpsE [EC:2.4.-.-]	biofilm_cell_envelope	11.580932508250617
WP_209387614.1	WP_249726809.1	gene-ACSAL1_RS16130	-5.042826531323989	gene-ACZ0AN_RS18285	-6.47835672015482	conserved_down		glycosyltransferase family 4 protein		glycosyltransferase family 4 protein	K19422	glycosyltransferase EpsD [EC:2.4.-.-]	biofilm_cell_envelope	11.52118325147881
WP_115941165.1	WP_023857018.1	gene-ACSAL1_RS17985	-6.931690911383481	gene-ACZ0AN_RS19975	-4.547894564310743	conserved_down		S8 family peptidase		S8 family peptidase	K14647	minor extracellular serine protease Vpr [EC:3.4.21.-]	unclassified	11.479585475694225
