* WP_003151242.1      K02372   71.63  226.9   6.2e-69 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
* WP_003151318.1      K01575   82.43  339.0  2.7e-103 acetolactate decarboxylase [EC:4.1.1.5]
* WP_003151337.1      K01932  143.33  503.7  8.3e-153 gamma-polyglutamate synthase [EC:6.3.2.-]
* WP_003151340.1      K22116   57.70  141.4   5.4e-43 gamma-polyglutamate biosynthesis protein CapC
* WP_003151607.1      K05311  215.10  487.8  1.6e-148 central glycolytic genes regulator
* WP_003151660.1      K22301  235.43  291.6     3e-89 HTH-type transcriptional regulator, osmoprotectant uptake regulator
* WP_003151688.1      K03664   39.53  250.4   2.3e-76 SsrA-binding protein
* WP_003151759.1      K07038   28.70   98.2   7.3e-30 inner membrane protein
* WP_003152056.1      K05571  109.60  125.0   3.7e-38 multicomponent Na+:H+ antiporter subunit G
* WP_003152109.1      K19955  439.03  586.6  2.2e-178 alcohol dehydrogenase [EC:1.1.1.-]
* WP_003152359.1      K03439   57.33  197.8   3.8e-60 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
* WP_003153114.1      K23734  204.50  381.0  5.9e-116 lipoyl(octanoyl) transferase [EC:2.3.1.181]
* WP_003153118.1      K07001   94.97  169.4   1.9e-51 NTE family protein
* WP_003153415.1      K24131   47.23  152.4   2.4e-46 protease PrsW [EC:3.4.-.-]
* WP_003153553.1      K03816  145.13  303.6   5.9e-93 xanthine phosphoribosyltransferase [EC:2.4.2.22]
* WP_003154234.1      K02420   86.10  122.8   9.4e-38 flagellar biosynthesis protein FliQ
* WP_003154237.1      K02418   22.07   72.1   6.3e-22 flagellar protein FliO/FliZ
* WP_003154238.1      K03413  135.17  168.1   5.1e-51 two-component system, chemotaxis family, chemotaxis protein CheY
* WP_003154240.1      K02416   93.13  276.0   1.1e-83 flagellar motor switch protein FliM
* WP_003154243.1      K02385   38.93   89.3   1.9e-27 flagellar protein FlbD
* WP_003154253.1      K02413   34.83   76.8   2.9e-23 flagellar protein FliJ
* WP_003154256.1      K02410   84.30  401.8  6.5e-122 flagellar motor switch protein FliG
* WP_003154259.1      K02388   67.17  178.1   2.8e-54 flagellar basal-body rod protein FlgC
