gene_id	protein_id	gene_symbol	product
gene-ACZ0AN_RS00005	WP_463315603.1	dnaA	chromosomal replication initiator protein DnaA
gene-ACZ0AN_RS00010	WP_059230521.1	dnaN	DNA polymerase III subunit beta
gene-ACZ0AN_RS00015	WP_003178084.1	yaaA	S4 domain-containing protein YaaA
gene-ACZ0AN_RS00020	WP_003178089.1	recF	DNA replication/repair protein RecF
gene-ACZ0AN_RS00025	WP_023856795.1	remB	extracellular matrix regulator RemB
gene-ACZ0AN_RS00030	WP_031305110.1	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B
gene-ACZ0AN_RS00035	WP_023856793.1	gyrA	DNA gyrase subunit A
gene-ACZ0AN_RS00065			YaaC family protein
gene-ACZ0AN_RS00070	WP_020449769.1	guaB	IMP dehydrogenase
gene-ACZ0AN_RS00075	WP_031305058.1	dacA	D-alanyl-D-alanine carboxypeptidase
gene-ACZ0AN_RS00080	WP_020449771.1	pdxS	pyridoxal 5'-phosphate synthase lyase subunit PdxS
gene-ACZ0AN_RS00085	WP_025810896.1	pdxT	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
gene-ACZ0AN_RS00090	WP_025810897.1	serS	serine--tRNA ligase
gene-ACZ0AN_RS00095	WP_026579010.1		glycerate kinase
gene-ACZ0AN_RS00100	WP_020449775.1		GntP family permease
gene-ACZ0AN_RS00105	WP_025810900.1		CdaR family transcriptional regulator
gene-ACZ0AN_RS00110	WP_145645680.1		SMI1/KNR4 family protein
gene-ACZ0AN_RS00120	WP_020449778.1		deoxynucleoside kinase
gene-ACZ0AN_RS00125	WP_020449779.1		deoxynucleoside kinase
gene-ACZ0AN_RS00130	WP_031305057.1		glycoside hydrolase family 18 protein
gene-ACZ0AN_RS00135	WP_229079034.1		cysteine hydrolase family protein
gene-ACZ0AN_RS00140	WP_145654501.1	tadA	tRNA adenosine(34) deaminase TadA
gene-ACZ0AN_RS00150	WP_023856409.1	dnaX	DNA polymerase III subunit gamma/tau
gene-ACZ0AN_RS00155	WP_023856408.1		YbaB/EbfC family nucleoid-associated protein
gene-ACZ0AN_RS00160	WP_003178140.1	recR	recombination protein RecR
gene-ACZ0AN_RS00165	WP_023856407.1		YaaL family protein
gene-ACZ0AN_RS00170	WP_003178144.1		pro-sigmaK processing inhibitor BofA family protein
gene-ACZ0AN_RS00200	WP_020449787.1		sigma factor G inhibitor Gin
gene-ACZ0AN_RS00205	WP_023855986.1		5-bromo-4-chloroindolyl phosphate hydrolysis family protein
gene-ACZ0AN_RS00210	WP_145645972.1		toxic anion resistance protein
gene-ACZ0AN_RS00215	WP_145645970.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
gene-ACZ0AN_RS00220	WP_023855983.1	tmk	dTMP kinase
gene-ACZ0AN_RS00225	WP_003178156.1		cyclic-di-AMP receptor
gene-ACZ0AN_RS00230	WP_020449792.1		YaaR family protein
gene-ACZ0AN_RS00235	WP_020449793.1	holB	DNA polymerase III subunit delta'
gene-ACZ0AN_RS00240	WP_020449794.1	ricT	competence/sporulation regulator complex protein RicT
gene-ACZ0AN_RS00245	WP_020449795.1	yabA	DNA replication initiation control protein YabA
gene-ACZ0AN_RS00250	WP_020449796.1		tRNA1(Val) (adenine(37)-N6)-methyltransferase
gene-ACZ0AN_RS00255	WP_023855982.1		GIY-YIG nuclease family protein
gene-ACZ0AN_RS00260	WP_026579003.1	rsmI	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
gene-ACZ0AN_RS00265	WP_085959887.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein
gene-ACZ0AN_RS00270	WP_026579002.1	metG	methionine--tRNA ligase
gene-ACZ0AN_RS00275	WP_463315604.1		TatD family hydrolase
gene-ACZ0AN_RS00280	WP_020449801.1		G5 and 3D domain-containing protein
gene-ACZ0AN_RS00285	WP_020449802.1	rnmV	ribonuclease M5
gene-ACZ0AN_RS00290	WP_020449803.1	rsmA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
gene-ACZ0AN_RS00295	WP_023855980.1	yabG	sporulation peptidase YabG
gene-ACZ0AN_RS00300	WP_003178187.1	veg	biofilm formation stimulator Veg
gene-ACZ0AN_RS00305	WP_003178189.1		small%2C acid-soluble spore protein%2C alpha/beta type
gene-ACZ0AN_RS00310	WP_025809574.1	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
gene-ACZ0AN_RS00315		purR	pur operon repressor
gene-ACZ0AN_RS00320	WP_065643993.1	ridA	2-iminobutanoate/2-iminopropanoate deaminase
gene-ACZ0AN_RS00325	WP_003178198.1	spoVG	septation regulator SpoVG
gene-ACZ0AN_RS00330	WP_035337507.1	glmU	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
gene-ACZ0AN_RS00335	WP_020449809.1		ribose-phosphate diphosphokinase
gene-ACZ0AN_RS00340	WP_145645983.1		50S ribosomal protein L25/general stress protein Ctc
gene-ACZ0AN_RS00345	WP_079289493.1	pth	aminoacyl-tRNA hydrolase
gene-ACZ0AN_RS00350	WP_003178210.1		anti-sigma-F factor Fin family protein
gene-ACZ0AN_RS00355	WP_025809571.1	mfd	transcription-repair coupling factor
gene-ACZ0AN_RS00360	WP_020449813.1	spoVT	stage V sporulation protein T
gene-ACZ0AN_RS00365	WP_095293084.1		putative polysaccharide biosynthesis protein
gene-ACZ0AN_RS00370	WP_095293082.1	yabN	bifunctional methyltransferase/pyrophosphohydrolase YabN
gene-ACZ0AN_RS00375	WP_003178218.1		RNA-binding S4 domain-containing protein
gene-ACZ0AN_RS00380	WP_011197470.1	yabP	sporulation protein YabP
gene-ACZ0AN_RS00385	WP_020449817.1	yabQ	spore cortex biosynthesis protein YabQ
gene-ACZ0AN_RS00390	WP_025809568.1		FtsB family cell division protein
gene-ACZ0AN_RS00395	WP_003178226.1		S1 domain-containing RNA-binding protein
gene-ACZ0AN_RS00410	WP_145645982.1	spoIIE	stage II sporulation protein E
gene-ACZ0AN_RS00415	WP_023855976.1		vWA domain-containing protein
gene-ACZ0AN_RS00420	WP_035337495.1		protein kinase domain-containing protein
gene-ACZ0AN_RS00425	WP_035337494.1	tilS	tRNA lysidine(34) synthetase TilS
gene-ACZ0AN_RS00430	WP_003178236.1	hpt	hypoxanthine phosphoribosyltransferase
gene-ACZ0AN_RS00435	WP_020449823.1	ftsH	ATP-dependent zinc metalloprotease FtsH
gene-ACZ0AN_RS00440	WP_003178242.1		type III pantothenate kinase
gene-ACZ0AN_RS00445	WP_020449824.1	hslO	Hsp33 family molecular chaperone HslO
gene-ACZ0AN_RS00450	WP_026578991.1		peptidyl-prolyl cis-trans isomerase
gene-ACZ0AN_RS00455	WP_023855972.1	cysK	cysteine synthase A
gene-ACZ0AN_RS00460	WP_026578990.1		anthranilate synthase component I family protein
gene-ACZ0AN_RS00465	WP_020449828.1	pabA	aminodeoxychorismate/anthranilate synthase component II
gene-ACZ0AN_RS00470	WP_463315605.1	pabC	aminodeoxychorismate lyase
gene-ACZ0AN_RS00475	WP_020449830.1	folP	dihydropteroate synthase
gene-ACZ0AN_RS00480	WP_023855968.1	folB	dihydroneopterin aldolase
gene-ACZ0AN_RS00485	WP_025809559.1	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
gene-ACZ0AN_RS00490	WP_031304995.1		helix-turn-helix domain-containing protein
gene-ACZ0AN_RS00495	WP_020449833.1	dusB	tRNA dihydrouridine synthase DusB
gene-ACZ0AN_RS00500	WP_026578986.1	lysS	lysine--tRNA ligase
gene-ACZ0AN_RS00580	WP_020449835.1		CtsR family transcriptional regulator
gene-ACZ0AN_RS00585	WP_003178271.1		UvrB/UvrC motif-containing protein
gene-ACZ0AN_RS00590	WP_023855926.1		protein arginine kinase
gene-ACZ0AN_RS00595	WP_020449838.1	clpC	ATP-dependent protease ATP-binding subunit ClpC
gene-ACZ0AN_RS00600	WP_020449839.1	radA	DNA repair protein RadA
gene-ACZ0AN_RS00605	WP_020449840.1	disA	DNA integrity scanning diadenylate cyclase DisA
gene-ACZ0AN_RS00610	WP_023855923.1		PIN/TRAM domain-containing protein
gene-ACZ0AN_RS00615	WP_020449841.1	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
