ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class
WP_003151337.1	WP_023857157.1	gene-ACSAL1_RS16880	4.862568613443718	gene-ACZ0AN_RS19045	2.7795226158647184	conserved_up
WP_003151660.1	WP_020452993.1	gene-ACSAL1_RS15845	1.6800792678979262	gene-ACZ0AN_RS18085	2.3590116971797395	conserved_up
WP_003151688.1	WP_009329604.1	gene-ACSAL1_RS15760	1.708702697546316	gene-ACZ0AN_RS18025	1.8390452120380625	conserved_up
WP_003151759.1	WP_023856262.1	gene-ACSAL1_RS15565	4.899877917679287	gene-ACZ0AN_RS17700	3.2250492063192286	conserved_up
WP_003151783.1	WP_023856250.1	gene-ACSAL1_RS15485	1.928679056624332	gene-ACZ0AN_RS17620	1.771773659828173	conserved_up
WP_003151806.1	WP_020452898.1	gene-ACSAL1_RS15410	3.195806192080932	gene-ACZ0AN_RS17505	3.0772648860083547	conserved_up
WP_014416712.1	WP_229079034.1	gene-ACSAL1_RS00120	1.2172034992989538	gene-ACZ0AN_RS00135	5.2175676615197455	conserved_up
WP_032871696.1	WP_043054431.1	gene-ACSAL1_RS13565	1.0142526365747098	gene-ACZ0AN_RS15645	3.185809883603357	conserved_up
WP_032872770.1	WP_023855731.1	gene-ACSAL1_RS01615	2.854391752714983	gene-ACZ0AN_RS10810	1.1228098491428506	conserved_up
WP_007408448.1	WP_463315651.1	gene-ACSAL1_RS04765	1.7268055668652609	gene-ACZ0AN_RS05135	2.352357415295325	conserved_up
WP_007610880.1	WP_262352115.1	gene-ACSAL1_RS06695	5.174352956865405	gene-ACZ0AN_RS07355	1.7804568924426	conserved_up
WP_017418839.1	WP_039073040.1	gene-ACSAL1_RS16400	1.9358389985465128	gene-ACZ0AN_RS18500	3.0201054490804755	conserved_up
WP_209387623.1	WP_023856360.1	gene-ACSAL1_RS16410	2.7205759091802344	gene-ACZ0AN_RS18510	3.249324027327487	conserved_up
WP_007409608.1	WP_165583461.1	gene-ACSAL1_RS07130	1.8450025743937128	gene-ACZ0AN_RS07825	2.533535383968431	conserved_up
WP_209388025.1	WP_023855996.1	gene-ACSAL1_RS04345	1.5938601705731903	gene-ACZ0AN_RS04645	3.39372446317414	conserved_up
WP_003152359.1	WP_023855521.1	gene-ACSAL1_RS13815	2.210453037090703	gene-ACZ0AN_RS15805	2.591072122297144	conserved_up
WP_021493826.1	WP_103749038.1	gene-ACSAL1_RS06495	2.7745743682146844	gene-ACZ0AN_RS07020	1.141918603552586	conserved_up
WP_065180546.1	WP_020451905.1	gene-ACSAL1_RS10330	1.2718280674797813	gene-ACZ0AN_RS11765	1.3911819646099344	conserved_up
WP_007407725.1	WP_020453376.1	gene-ACSAL1_RS18105	1.055493459706895	gene-ACZ0AN_RS20155	2.047636993162536	conserved_up
WP_007408461.1	WP_020451149.1	gene-ACSAL1_RS06945	4.554990244619121	gene-ACZ0AN_RS07600	1.2757454494222562	conserved_up
WP_007408834.1	WP_020452679.1	gene-ACSAL1_RS14115	1.1379603923857866	gene-ACZ0AN_RS16140	1.5694256768369166	conserved_up
WP_007408838.1	WP_020452683.1	gene-ACSAL1_RS14140	1.5588046817683694	gene-ACZ0AN_RS16165	1.7022208971195518	conserved_up
WP_014416875.1	WP_003183787.1	gene-ACSAL1_RS01775	4.896699567113498	gene-ACZ0AN_RS14190	1.2595998092658656	conserved_up
WP_014417303.1	WP_023856526.1	gene-ACSAL1_RS04945	1.1163275496409255	gene-ACZ0AN_RS05385	1.3020837681910555	conserved_up
WP_029973465.1	WP_035338769.1	gene-ACSAL1_RS08295	4.211365065011884	gene-ACZ0AN_RS08995	3.1360969960722347	conserved_up
WP_003153380.1	WP_023857487.1	gene-ACSAL1_RS10865	2.402908299771456	gene-ACZ0AN_RS12345	1.2553401257702768	conserved_up
WP_014305189.1	WP_059230589.1	gene-ACSAL1_RS09710	6.246388519655356	gene-ACZ0AN_RS10995	3.5988982712916973	conserved_up
WP_003218330.1	WP_003178187.1	gene-ACSAL1_RS00285	1.6097278060988185	gene-ACZ0AN_RS00300	1.1837617911546012	conserved_up
WP_007614174.1	WP_023857158.1	gene-ACSAL1_RS16870	3.820635373010996	gene-ACZ0AN_RS19035	2.615495576218596	conserved_up
WP_209388323.1	WP_023856293.1	gene-ACSAL1_RS04295	1.4951395833675063	gene-ACZ0AN_RS17895	4.944402784968511	conserved_up
WP_007612347.1	WP_023855928.1	gene-ACSAL1_RS11010	1.1436001097257371	gene-ACZ0AN_RS12505	2.3989979848059573	conserved_up
WP_003153733.1	WP_103749529.1	gene-ACSAL1_RS09900	3.0734462598200563	gene-ACZ0AN_RS14180	2.4121072601339217	conserved_up
WP_004264691.1	WP_023855980.1	gene-ACSAL1_RS00280	3.630879790644214	gene-ACZ0AN_RS00295	2.1295973646964907	conserved_up
WP_007613018.1	WP_145645883.1	gene-ACSAL1_RS13215	1.95752203293045	gene-ACZ0AN_RS15300	2.429749322137207	conserved_up
WP_094031586.1	WP_020450573.1	gene-ACSAL1_RS04045	2.11865860217245	gene-ACZ0AN_RS04340	3.79963517696676	conserved_up
WP_007408154.1	WP_020452464.1	gene-ACSAL1_RS12875	1.0920183915140562	gene-ACZ0AN_RS14945	1.1520684186899444	conserved_up
WP_014417058.1	WP_105981098.1	gene-ACSAL1_RS03035	3.1207073615374443	gene-ACZ0AN_RS14035	1.3332180577009678	conserved_up
WP_017419163.1	WP_075213253.1	gene-ACSAL1_RS03060	1.0188873581035778	gene-ACZ0AN_RS09500	1.902885976330414	conserved_up
