ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	candidate_category
WP_003151660.1	WP_020452993.1	gene-ACSAL1_RS15845	1.6800792678979262	gene-ACZ0AN_RS18085	2.3590116971797395	conserved_up		GbsR/MarR family transcriptional regulator		GbsR/MarR family transcriptional regulator	regulation
WP_032872770.1	WP_023855731.1	gene-ACSAL1_RS01615	2.854391752714983	gene-ACZ0AN_RS10810	1.1228098491428506	conserved_up		MarR family transcriptional regulator		MarR family winged helix-turn-helix transcriptional regulator	regulation
WP_014418721.1	WP_023856013.1	gene-ACSAL1_RS14385	3.268410763367283	gene-ACZ0AN_RS16465	-2.241624484169217	opposite	gbsR	transcriptional regulator GbsR	cudC	choline uptake/conversion transcriptional regulator CudC	regulation
WP_003156263.1	WP_043926750.1	gene-ACSAL1_RS02225	-1.3687242802288264	gene-ACZ0AN_RS02635	-1.0122595676090618	conserved_down	lrpC	transcriptional regulator LrpC		Lrp/AsnC family transcriptional regulator	regulation
WP_014416787.1	WP_020452586.1	gene-ACSAL1_RS01185	3.00931132988949	gene-ACZ0AN_RS15610	-1.3555069013213925	opposite		MarR family winged helix-turn-helix transcriptional regulator		MarR family winged helix-turn-helix transcriptional regulator	regulation
WP_014417058.1	WP_105981098.1	gene-ACSAL1_RS03035	3.1207073615374443	gene-ACZ0AN_RS14035	1.3332180577009678	conserved_up		FadR/GntR family transcriptional regulator		FadR/GntR family transcriptional regulator	regulation
WP_003151607.1	WP_020453006.1	gene-ACSAL1_RS15955	2.6781740488127013	gene-ACZ0AN_RS18160	1.7078587155075085	conserved_up	cggR	gapA transcriptional regulator CggR		sugar-binding transcriptional regulator	regulation
WP_209388167.1	WP_154059133.1	gene-ACSAL1_RS06875	-3.998232689390282	gene-ACZ0AN_RS07515	-1.323020547831464	conserved_down		PAS domain-containing sensor histidine kinase		PAS domain-containing sensor histidine kinase	regulation
WP_003153729.1	WP_023857369.1	gene-ACSAL1_RS09910	1.2584556852155495	gene-ACZ0AN_RS11375	2.205645286779224	conserved_up	yodB	transcriptional regulator YodB		winged helix-turn-helix transcriptional regulator	regulation
WP_014720932.1	WP_020452853.1	gene-ACSAL1_RS04980	1.1085797791705978	gene-ACZ0AN_RS17240	2.866732120959902	conserved_up		TetR/AcrR family transcriptional regulator		TetR/AcrR family transcriptional regulator	regulation
WP_029972881.1	WP_095292867.1	gene-ACSAL1_RS17670	1.10182029199333	gene-ACZ0AN_RS01575	1.2469505260009366	conserved_up		MarR family transcriptional regulator		MarR family winged helix-turn-helix transcriptional regulator	regulation
WP_209387492.1	WP_026579091.1	gene-ACSAL1_RS13250	1.1605197243735168	gene-ACZ0AN_RS15340	1.2511651379488289	conserved_up		sensor histidine kinase		sensor histidine kinase	regulation
