ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class
WP_003150717.1	WP_020449769.1	gene-ACSAL1_RS00070	-3.594941403303482	gene-ACZ0AN_RS00070	-1.3124370474824931	conserved_down
WP_003151973.1	WP_020452200.1	gene-ACSAL1_RS14950	-6.050197136585435	gene-ACZ0AN_RS13440	-3.2836979957405035	conserved_down
WP_003153347.1	WP_020452032.1	gene-ACSAL1_RS10985	-5.253889382658988	gene-ACZ0AN_RS12480	-2.180841746106453	conserved_down
WP_003155941.1	WP_020450334.1	gene-ACSAL1_RS03185	-1.8605789506396115	gene-ACZ0AN_RS03250	-3.756101983008577	conserved_down
WP_007610283.1	WP_373367315.1	gene-ACSAL1_RS04770	-2.913600064555231	gene-ACZ0AN_RS05140	-1.0711044514124992	conserved_down
WP_087920760.1	WP_023857495.1	gene-ACSAL1_RS06330	-5.864729763497474	gene-ACZ0AN_RS12410	-2.03275570388518	conserved_down
WP_007610941.1	WP_020451134.1	gene-ACSAL1_RS06880	-3.587327010368884	gene-ACZ0AN_RS07520	-1.0408795409147296	conserved_down
WP_017417453.1	WP_080131317.1	gene-ACSAL1_RS05805	-4.680521267366401	gene-ACZ0AN_RS06465	-1.70289199449179	conserved_down
WP_022552606.1	WP_463315629.1	gene-ACSAL1_RS02205	-2.163704397542098	gene-ACZ0AN_RS02675	-2.2856749883189225	conserved_down
WP_209387614.1	WP_249726809.1	gene-ACSAL1_RS16130	-5.042826531323989	gene-ACZ0AN_RS18285	-6.47835672015482	conserved_down
WP_209387665.1	WP_075212731.1	gene-ACSAL1_RS16990	-3.690252701672995	gene-ACZ0AN_RS19110	-1.0148104745358797	conserved_down
WP_209388097.1	WP_020450931.1	gene-ACSAL1_RS05785	-4.369237861431171	gene-ACZ0AN_RS06445	-2.610654489631579	conserved_down
WP_003154064.1	WP_020451500.1	gene-ACSAL1_RS08825	-2.8167681017396933	gene-ACZ0AN_RS09570	-1.413477236468035	conserved_down
WP_003156765.1	WP_023857683.1	gene-ACSAL1_RS01125	-1.7931319859896746	gene-ACZ0AN_RS01080	-1.9022331091137663	conserved_down
WP_014418163.1	WP_020451887.1	gene-ACSAL1_RS10195	-1.9451495875440592	gene-ACZ0AN_RS11645	-1.1626147456375169	conserved_down
WP_014418701.1	WP_020452681.1	gene-ACSAL1_RS14130	-3.951984887906128	gene-ACZ0AN_RS16155	-2.711653419295993	conserved_down
WP_209388020.1	WP_463315646.1	gene-ACSAL1_RS04240	-2.1662685257865744	gene-ACZ0AN_RS04565	-1.1357289425919133	conserved_down
WP_209388066.1	WP_023856564.1	gene-ACSAL1_RS05215	-1.182433288881998	gene-ACZ0AN_RS05685	-1.2122364320173835	conserved_down
WP_209388068.1	WP_003180341.1	gene-ACSAL1_RS05300	-1.1396719652030278	gene-ACZ0AN_RS05785	-3.547532508357943	conserved_down
WP_003153229.1	WP_463315567.1	gene-ACSAL1_RS11345	-1.6740983551861546	gene-ACZ0AN_RS12935	-4.8994849241551215	conserved_down
WP_003153348.1	WP_020452031.1	gene-ACSAL1_RS10980	-5.321007350179249	gene-ACZ0AN_RS12475	-2.230434213485784	conserved_down
WP_209387856.1	WP_065644601.1	gene-ACSAL1_RS01565	-4.883845397278584	gene-ACZ0AN_RS04420	-1.5259832038594563	conserved_down
WP_209387897.1	WP_020451129.1	gene-ACSAL1_RS02175	-1.9096990013062256	gene-ACZ0AN_RS07495	-2.034741719174001	conserved_down
WP_209387942.1	WP_212930469.1	gene-ACSAL1_RS03010	-5.319763060058924	gene-ACZ0AN_RS06770	-1.652784228966899	conserved_down
WP_007408540.1	WP_026580626.1	gene-ACSAL1_RS04220	-2.407736345212819	gene-ACZ0AN_RS04555	-1.2387489045274809	conserved_down
WP_007409232.1	WP_020450783.1	gene-ACSAL1_RS05080	-4.432094049797036	gene-ACZ0AN_RS05535	-1.7395135731914453	conserved_down
WP_014417624.1	WP_020451220.1	gene-ACSAL1_RS07280	-2.992597824096704	gene-ACZ0AN_RS08005	-1.8572633755859416	conserved_down
WP_014419084.1	WP_020453225.1	gene-ACSAL1_RS17200	-2.552460447470357	gene-ACZ0AN_RS19340	-1.0552941587939886	conserved_down
WP_014419100.1	WP_020453263.1	gene-ACSAL1_RS17365	-1.354006829706629	gene-ACZ0AN_RS19550	-1.7907575845297306	conserved_down
WP_209387869.1	WP_463315619.1	gene-ACSAL1_RS01790	-1.3874090105756127	gene-ACZ0AN_RS02070	-1.7290186017611453	conserved_down
WP_007408704.1	WP_197407115.1	gene-ACSAL1_RS14885	-1.9611705880142165	gene-ACZ0AN_RS17020	-1.448942886856874	conserved_down
WP_209387760.1	WP_023856876.1	gene-ACSAL1_RS18725	-3.227630184226192	gene-ACZ0AN_RS21040	-1.037364928130837	conserved_down
WP_209388293.1	WP_095292208.1	gene-ACSAL1_RS09315	-1.26776836309052	gene-ACZ0AN_RS17975	-3.3996738742288177	conserved_down
WP_003156263.1	WP_043926750.1	gene-ACSAL1_RS02225	-1.3687242802288264	gene-ACZ0AN_RS02635	-1.0122595676090618	conserved_down
WP_004393130.1	WP_463315621.1	gene-ACSAL1_RS19005	-2.044025085325879	gene-ACZ0AN_RS02155	-1.278056620589572	conserved_down
WP_007613932.1	WP_025810730.1	gene-ACSAL1_RS16145	-3.1654835611560204	gene-ACZ0AN_RS18300	-6.504156675798009	conserved_down
WP_017419100.1	WP_197407056.1	gene-ACSAL1_RS03920	-2.443915917986018	gene-ACZ0AN_RS21560	-1.3122160456460548	conserved_down
WP_209387766.1	WP_079289246.1	gene-ACSAL1_RS18790	-3.256030382478224	gene-ACZ0AN_RS21110	-1.4209804359467644	conserved_down
WP_094296495.1	WP_035337765.1	gene-ACSAL1_RS04245	-1.96119704155616	gene-ACZ0AN_RS18565	-2.110650665514868	conserved_down
WP_003156467.1	WP_020449860.1	gene-ACSAL1_RS00740	-1.0067355596969187	gene-ACZ0AN_RS00750	-1.2166084671752428	conserved_down
WP_209387319.1	WP_463315702.1	gene-ACSAL1_RS09495	-6.796985221757411	gene-ACZ0AN_RS10645	-7.180965380102754	conserved_down
WP_209388057.1	WP_463315656.1	gene-ACSAL1_RS04995	-1.5539544197770336	gene-ACZ0AN_RS05460	-2.870280723913922	conserved_down
WP_007613029.1	WP_020452538.1	gene-ACSAL1_RS13260	-1.9249125469361088	gene-ACZ0AN_RS15355	-1.497168154273244	conserved_down
WP_012117512.1	WP_048350284.1	gene-ACSAL1_RS07865	-1.4932065641458314	gene-ACZ0AN_RS08570	-2.1280857385868144	conserved_down
WP_015418422.1	WP_103749414.1	gene-ACSAL1_RS17435	-5.004627658044479	gene-ACZ0AN_RS19640	-2.127138649156496	conserved_down
WP_029973761.1	WP_039073309.1	gene-ACSAL1_RS03235	-1.0072021226718155	gene-ACZ0AN_RS03365	-3.1114435340054176	conserved_down
WP_003156488.1	WP_003178353.1	gene-ACSAL1_RS00795	-1.1374279288119666	gene-ACZ0AN_RS00805	-1.2935160136862636	conserved_down
WP_007407552.1	WP_095291488.1	gene-ACSAL1_RS17070	-1.8588800849433795	gene-ACZ0AN_RS19135	-2.8540330460219736	conserved_down
WP_007611962.1	WP_224067368.1	gene-ACSAL1_RS09800	-3.2554576290207105	gene-ACZ0AN_RS11280	-1.8771217070356776	conserved_down
WP_017417653.1	WP_146873438.1	gene-ACSAL1_RS06950	-1.4277974193696534	gene-ACZ0AN_RS07605	-2.178227870588532	conserved_down
