ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class
WP_003151443.1	WP_023856371.1	gene-ACSAL1_RS16495	-1.4459246088366593	gene-ACZ0AN_RS18595	2.1840398866518806	opposite
WP_003151491.1	WP_026580154.1	gene-ACSAL1_RS16350	2.095650487387629	gene-ACZ0AN_RS18465	-2.057759783916704	opposite
WP_003151611.1	WP_020453005.1	gene-ACSAL1_RS15950	-2.03928138049859	gene-ACZ0AN_RS18155	2.2170622265576028	opposite
WP_003151843.1	WP_020452880.1	gene-ACSAL1_RS15285	2.975119196944257	gene-ACZ0AN_RS17385	-2.691901269320946	opposite
WP_003156375.1	WP_020450121.1	gene-ACSAL1_RS01825	2.398318167990748	gene-ACZ0AN_RS02140	-3.155361437405906	opposite
WP_007409730.1	WP_023857237.1	gene-ACSAL1_RS07905	-4.053992359104057	gene-ACZ0AN_RS08610	2.311764166423125	opposite
WP_007410406.1	WP_020449870.1	gene-ACSAL1_RS00830	1.6407189940773474	gene-ACZ0AN_RS00840	-1.2063548192422011	opposite
WP_014416732.1	WP_035337495.1	gene-ACSAL1_RS00405	1.4943052172992564	gene-ACZ0AN_RS00420	-1.699444508216135	opposite
WP_014419051.1	WP_212110215.1	gene-ACSAL1_RS16980	-1.108740975137642	gene-ACZ0AN_RS10015	1.3378976246494805	opposite
WP_065180448.1	WP_020450914.1	gene-ACSAL1_RS14925	-1.9419817747147752	gene-ACZ0AN_RS06280	1.2993709772841433	opposite
WP_014418069.1	WP_105980986.1	gene-ACSAL1_RS09475	-4.471973670319692	gene-ACZ0AN_RS10320	2.4994008690485368	opposite
WP_014418078.1	WP_026579843.1	gene-ACSAL1_RS09540	-7.517316532351051	gene-ACZ0AN_RS07115	3.213327105129636	opposite
WP_109567373.1	WP_020451965.1	gene-ACSAL1_RS10680	-1.9607682639023825	gene-ACZ0AN_RS12120	1.2269881345414242	opposite
WP_209388014.1	WP_144497568.1	gene-ACSAL1_RS04155	-11.559233767667193	gene-ACZ0AN_RS04480	3.3755990124202504	opposite
WP_007613450.1	WP_020452803.1	gene-ACSAL1_RS14780	-1.8518160257324656	gene-ACZ0AN_RS16940	3.537804541539622	opposite
WP_017419515.1	WP_033155020.1	gene-ACSAL1_RS14365	-2.2543819786072805	gene-ACZ0AN_RS16445	1.392523338543379	opposite
WP_209388040.1	WP_051303785.1	gene-ACSAL1_RS04685	1.0414677784500952	gene-ACZ0AN_RS05040	-1.0575515202674095	opposite
WP_209388089.1	WP_050820921.1	gene-ACSAL1_RS05670	-4.715303622546209	gene-ACZ0AN_RS06315	1.0881756127610345	opposite
WP_209388124.1	WP_003182594.1	gene-ACSAL1_RS06220	2.5594604962055274	gene-ACZ0AN_RS11030	-1.52780665734131	opposite
WP_209388340.1	WP_463315652.1	gene-ACSAL1_RS09565	-2.7945049267147444	gene-ACZ0AN_RS05175	1.1004179769627962	opposite
WP_003155540.1	WP_101561777.1	gene-ACSAL1_RS04140	-14.426380794359346	gene-ACZ0AN_RS04465	3.3268056927873104	opposite
WP_003156206.1	WP_023857876.1	gene-ACSAL1_RS02425	7.9326499189938176	gene-ACZ0AN_RS02760	-1.6792513251474843	opposite
WP_007410318.1	WP_020451611.1	gene-ACSAL1_RS09210	-1.0729569290233014	gene-ACZ0AN_RS10170	3.0305621939608693	opposite
WP_014418226.1	WP_020451906.1	gene-ACSAL1_RS10335	2.374750587949929	gene-ACZ0AN_RS11770	-1.960687448398598	opposite
WP_014418721.1	WP_023856013.1	gene-ACSAL1_RS14385	3.268410763367283	gene-ACZ0AN_RS16465	-2.241624484169217	opposite
WP_209387807.1	WP_026579010.1	gene-ACSAL1_RS00095	-2.016292304833926	gene-ACZ0AN_RS00095	2.2050165501959564	opposite
WP_209387815.1	WP_095293084.1	gene-ACSAL1_RS00350	2.688175189689999	gene-ACZ0AN_RS00365	-1.0842081557662198	opposite
WP_209387847.1	WP_216919657.1	gene-ACSAL1_RS01435	-3.23001386047492	gene-ACZ0AN_RS16425	1.108794667870473	opposite
WP_209387851.1	WP_463315617.1	gene-ACSAL1_RS01475	1.6324063816200225	gene-ACZ0AN_RS01680	-2.381338331948041	opposite
WP_003153246.1	WP_003183271.1	gene-ACSAL1_RS11280	-2.024361599075449	gene-ACZ0AN_RS12830	1.683032903131903	opposite
WP_014418573.1	WP_023855442.1	gene-ACSAL1_RS12990	1.752706220236102	gene-ACZ0AN_RS15070	-1.57885749075382	opposite
WP_021494369.1	WP_025811067.1	gene-ACSAL1_RS12425	4.16036785591864	gene-ACZ0AN_RS14475	-2.669849375920057	opposite
WP_021494398.1	WP_023855436.1	gene-ACSAL1_RS12935	-2.5752707188524626	gene-ACZ0AN_RS15005	1.6835178236565316	opposite
WP_021494838.1	WP_023857146.1	gene-ACSAL1_RS17000	-1.9059004191608315	gene-ACZ0AN_RS19120	1.6134055385530237	opposite
WP_063636991.1	WP_025810135.1	gene-ACSAL1_RS01975	3.14283442820121	gene-ACZ0AN_RS02380	-2.9054420844214093	opposite
WP_007409202.1	WP_039072636.1	gene-ACSAL1_RS05280	-7.186396071002923	gene-ACZ0AN_RS05745	1.5113821695313574	opposite
WP_007409265.1	WP_020450740.1	gene-ACSAL1_RS04910	1.0249219112974963	gene-ACZ0AN_RS05330	-1.5719943229369508	opposite
WP_014416856.1	WP_079289465.1	gene-ACSAL1_RS01640	-1.6857081681624009	gene-ACZ0AN_RS01920	2.0336343684461164	opposite
WP_015239079.1	WP_080131481.1	gene-ACSAL1_RS01345	1.449471144073017	gene-ACZ0AN_RS16805	-1.1845924896227915	opposite
WP_015239834.1	WP_080131361.1	gene-ACSAL1_RS07965	1.070173059097868	gene-ACZ0AN_RS08675	-2.783154204561614	opposite
WP_032873891.1	WP_079289159.1	gene-ACSAL1_RS12430	3.715114580233618	gene-ACZ0AN_RS14480	-1.5830758633695157	opposite
WP_209387531.1	WP_020452705.1	gene-ACSAL1_RS14350	1.9396924738412624	gene-ACZ0AN_RS16395	-1.599948335239788	opposite
WP_209387584.1	WP_020452969.1	gene-ACSAL1_RS15685	-3.073315664568395	gene-ACZ0AN_RS17930	1.1343017837849023	opposite
WP_209387590.1	WP_020450026.1	gene-ACSAL1_RS15810	4.075270744142511	gene-ACZ0AN_RS01645	-2.679636350223789	opposite
WP_003153791.1	WP_025811299.1	gene-ACSAL1_RS09740	2.4027548600786863	gene-ACZ0AN_RS11220	-2.996669150830744	opposite
WP_003153848.1	WP_023857512.1	gene-ACSAL1_RS09535	-1.6012744725846353	gene-ACZ0AN_RS10590	2.056815292975994	opposite
WP_012117522.1	WP_020451335.1	gene-ACSAL1_RS07940	1.46329600320265	gene-ACZ0AN_RS08650	-5.1459412443498325	opposite
WP_003156508.1	WP_003178377.1	gene-ACSAL1_RS00850	3.2420921622102323	gene-ACZ0AN_RS00860	-1.4792014068465975	opposite
WP_011996172.1	WP_003178189.1	gene-ACSAL1_RS00290	-1.093957039424568	gene-ACZ0AN_RS00305	2.127714824064673	opposite
WP_095060687.1	WP_463315716.1	gene-ACSAL1_RS09840	-2.098432220825613	gene-ACZ0AN_RS11320	2.124236480134237	opposite
WP_101287828.1	WP_025811224.1	gene-ACSAL1_RS10600	-1.832417523791708	gene-ACZ0AN_RS12040	1.234408777290284	opposite
WP_003150818.1	WP_020453462.1	gene-ACSAL1_RS18360	-1.899980466724842	gene-ACZ0AN_RS20610	3.092006824696252	opposite
WP_012117061.1	WP_023856657.1	gene-ACSAL1_RS03870	-1.4975874896517312	gene-ACZ0AN_RS06500	1.751423180960942	opposite
WP_014417719.1	WP_145685923.1	gene-ACSAL1_RS07775	1.0100593211871682	gene-ACZ0AN_RS08460	-1.7440772675643292	opposite
WP_014417735.1	WP_154059137.1	gene-ACSAL1_RS07960	1.0682982596174395	gene-ACZ0AN_RS08670	-2.554782534531133	opposite
WP_160183220.1	WP_023857026.1	gene-ACSAL1_RS17925	2.8839565205323328	gene-ACZ0AN_RS19925	-1.7715700718954217	opposite
