ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category	combined_abs_log2FC	raw_label	label
WP_007408329.1	WP_020452167.1	gene-ACSAL1_RS11690	-11.145716030371412	gene-ACZ0AN_RS13245	-7.891609756638836	conserved_down	tasA	biofilm matrix protein TasA	tasA	biofilm matrix protein TasA	K06336	spore coat-associated protein N	biofilm_cell_envelope	19.037325787010246	tasA	tasA
WP_015418210.1	WP_025810626.1	gene-ACSAL1_RS15650	-11.014079586223318	gene-ACZ0AN_RS19790	-6.831272881016061	conserved_down	NA	zinc-dependent metalloprotease	NA	zinc-dependent metalloprotease	NA	NA	unclassified	17.84535246723938	gene-ACSAL1_RS15650	gene-ACSAL1 RS15650
WP_007609269.1	WP_020452126.1	gene-ACSAL1_RS01645	-8.731497773152256	gene-ACZ0AN_RS13025	-6.096408181815178	conserved_down	NA	antimicrobial peptide LCI	NA	antimicrobial peptide LCI	NA	NA	unclassified	14.827905954967434	gene-ACSAL1_RS01645	gene-ACSAL1 RS01645
WP_209387319.1	WP_463315702.1	gene-ACSAL1_RS09495	-6.796985221757411	gene-ACZ0AN_RS10645	-7.180965380102754	conserved_down	NA	non-ribosomal peptide synthetase	NA	amino acid adenylation domain-containing protein	K15665	plipastatin/fengycin lipopeptide synthetase B	unclassified	13.977950601860165	gene-ACSAL1_RS09495	gene-ACSAL1 RS09495
WP_209388338.1	WP_095292205.1	gene-ACSAL1_RS09345	-7.154397350758142	gene-ACZ0AN_RS17985	-6.381306972840374	conserved_down	NA	glycoside hydrolase family 43 protein	NA	glycoside hydrolase family 43 protein	K15921	arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]	unclassified	13.535704323598516	gene-ACSAL1_RS09345	gene-ACSAL1 RS09345
WP_021495102.1	WP_023857901.1	gene-ACSAL1_RS02195	1.3980793149702586	gene-ACZ0AN_RS02595	12.077316490850572	conserved_up	NA	SDR family oxidoreductase	NA	SDR family oxidoreductase	NA	NA	oxidative_stress	13.475395805820831	gene-ACSAL1_RS02195	gene-ACSAL1 RS02195
WP_007407383.1	WP_025810736.1	gene-ACSAL1_RS16090	-6.241506271191187	gene-ACZ0AN_RS18245	-7.177697202871734	conserved_down	NA	sugar transferase	NA	sugar transferase	K19428	sugar transferase EpsL [EC:2.-.-.-]	unclassified	13.419203474062922	gene-ACSAL1_RS16090	gene-ACSAL1 RS16090
WP_003153100.1	WP_023855186.1	gene-ACSAL1_RS11695	-6.591601171191677	gene-ACZ0AN_RS13250	-6.706310358210987	conserved_down	sipW	signal peptidase I SipW	sipW	signal peptidase I SipW	K13280	signal peptidase I [EC:3.4.21.89]	unclassified	13.297911529402665	sipW	sipW
WP_022553816.1	WP_095292176.1	gene-ACSAL1_RS16080	-5.543662278803894	gene-ACZ0AN_RS18235	-7.456290888915862	conserved_down	NA	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	NA	DegT/DnrJ/EryC1/StrS family aminotransferase	K19430	pyridoxal phosphate-dependent aminotransferase EpsN [EC:2.6.1.-]	unclassified	12.999953167719756	gene-ACSAL1_RS16080	gene-ACSAL1 RS16080
WP_007407393.1	WP_020453031.1	gene-ACSAL1_RS16140	-6.158932079809196	gene-ACZ0AN_RS18295	-6.6385789092564265	conserved_down	epsB	protein tyrosine kinase EpsB	NA	CpsD/CapB family tyrosine-protein kinase	K00903	protein-tyrosine kinase [EC:2.7.10.3]	unclassified	12.797510989065621	epsB	epsB
