ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	candidate_category
WP_209387614.1	WP_249726809.1	gene-ACSAL1_RS16130	-5.042826531323989	gene-ACZ0AN_RS18285	-6.47835672015482	conserved_down		glycosyltransferase family 4 protein		glycosyltransferase family 4 protein	biofilm_cell_envelope
WP_209387815.1	WP_095293084.1	gene-ACSAL1_RS00350	2.688175189689999	gene-ACZ0AN_RS00365	-1.0842081557662198	opposite		putative polysaccharide biosynthesis protein		putative polysaccharide biosynthesis protein	biofilm_cell_envelope
WP_003218330.1	WP_003178187.1	gene-ACSAL1_RS00285	1.6097278060988185	gene-ACZ0AN_RS00300	1.1837617911546012	conserved_up	veg	biofilm formation stimulator Veg	veg	biofilm formation stimulator Veg	biofilm_cell_envelope
WP_209387611.1	WP_095292166.1	gene-ACSAL1_RS16110	-4.436791661627002	gene-ACZ0AN_RS18265	-6.703226085229215	conserved_down		glycosyltransferase family 2 protein		glycosyltransferase family 2 protein	biofilm_cell_envelope
WP_007408329.1	WP_020452167.1	gene-ACSAL1_RS11690	-11.145716030371412	gene-ACZ0AN_RS13245	-7.891609756638836	conserved_down	tasA	biofilm matrix protein TasA	tasA	biofilm matrix protein TasA	biofilm_cell_envelope
WP_014419260.1	WP_257475246.1	gene-ACSAL1_RS18510	-6.240983486470718	gene-ACZ0AN_RS15400	5.335243977900378	opposite		polysaccharide lyase family 1 protein		pectate lyase family protein	biofilm_cell_envelope
WP_209387613.1	WP_020453028.1	gene-ACSAL1_RS16125	-5.160458131216826	gene-ACZ0AN_RS18280	-6.420474377033791	conserved_down	epsE	glycosyltransferase EpsE		glycosyltransferase family 2 protein	biofilm_cell_envelope
WP_209388180.1	WP_095290367.1	gene-ACSAL1_RS07115	-1.371126921660074	gene-ACZ0AN_RS07810	-1.611368312629892	conserved_down		peptidoglycan D%2CD-transpeptidase FtsI family protein		peptidoglycan D%2CD-transpeptidase FtsI family protein	biofilm_cell_envelope
WP_025650408.1	WP_023857033.1	gene-ACSAL1_RS14390	-5.780876519510483	gene-ACZ0AN_RS19875	-6.003002254306837	conserved_down	bslA	biofilm surface layer hydrophobin BslA	bslA	biofilm surface layer hydrophobin BslA	biofilm_cell_envelope
WP_209387473.1	WP_059231343.1	gene-ACSAL1_RS12780	1.9894286712623857	gene-ACZ0AN_RS14840	-1.00845801389165	opposite		M23 family metallopeptidase		peptidoglycan DD-metalloendopeptidase family protein	biofilm_cell_envelope
WP_209387609.1	WP_095292169.1	gene-ACSAL1_RS16100	-5.599860927765386	gene-ACZ0AN_RS18255	-6.897300896724677	conserved_down		glycosyltransferase		glycosyltransferase	biofilm_cell_envelope
WP_007407424.1	WP_023857797.1	gene-ACSAL1_RS16360	-1.050658517630043	gene-ACZ0AN_RS01810	-2.2205687103401	conserved_down	cwlO	peptidoglycan DL-endopeptidase CwlO		C40 family peptidase	biofilm_cell_envelope
WP_209387612.1	WP_249726811.1	gene-ACSAL1_RS16120	-5.247347115945321	gene-ACZ0AN_RS18275	-6.471095816487367	conserved_down		glycosyltransferase family 1 protein		glycosyltransferase family 1 protein	biofilm_cell_envelope
WP_021495233.1	WP_025810731.1	gene-ACSAL1_RS16135	-4.530910339759023	gene-ACZ0AN_RS18290	-6.877538643895273	conserved_down		polysaccharide biosynthesis protein		polysaccharide biosynthesis protein	biofilm_cell_envelope
WP_174747328.1	WP_020453026.1	gene-ACSAL1_RS16115	-2.4848991690101414	gene-ACZ0AN_RS18270	-6.613513258975818	conserved_down	epsG	biofilm exopolysaccharide biosynthesis protein EpsG		EpsG family protein	biofilm_cell_envelope
WP_209387347.1	WP_261794644.1	gene-ACSAL1_RS09850	-1.6055589681287308	gene-ACZ0AN_RS02695	-1.6592535988056765	conserved_down		macrolide family glycosyltransferase		macrolide family glycosyltransferase	biofilm_cell_envelope
WP_209387606.1	WP_035337735.1	gene-ACSAL1_RS16075	-5.304053247834244	gene-ACZ0AN_RS18230	-7.372771665535743	conserved_down		polysaccharide pyruvyl transferase family protein		polysaccharide pyruvyl transferase family protein	biofilm_cell_envelope
WP_209387610.1	WP_020453024.1	gene-ACSAL1_RS16105	-4.627131284848838	gene-ACZ0AN_RS18260	-7.2261011820334815	conserved_down		polysaccharide pyruvyl transferase family protein		polysaccharide pyruvyl transferase family protein	biofilm_cell_envelope
