ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category	score
WP_209388013.1	WP_023855891.1	gene-ACSAL1_RS04145	-13.324400098800346	gene-ACZ0AN_RS04470	3.461212273905089	opposite	acoB	acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit beta		alpha-ketoacid dehydrogenase subunit beta	K21417	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]	glycine_betaine_choline;oxidative_stress	16.785612372705437
WP_007408966.1	WP_020450525.1	gene-ACSAL1_RS03815	3.199668833549508	gene-ACZ0AN_RS04095	7.526635975934568	conserved_up		anion permease		anion permease	K03319	divalent anion:Na+ symporter, DASS family	sodium_homeostasis;transport	10.726304809484075
WP_209387533.1	WP_245117755.1	gene-ACSAL1_RS14380	9.031164912910793	gene-ACZ0AN_RS16460	1.6817709586311131	conserved_up	betB	betaine-aldehyde dehydrogenase	betB	betaine-aldehyde dehydrogenase	K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	glycine_betaine_choline	10.712935871541905
WP_021494173.1	WP_075213795.1	gene-ACSAL1_RS09590	6.6109245653865	gene-ACZ0AN_RS10685	4.030802150286297	conserved_up	proC	pyrroline-5-carboxylate reductase	proC	pyrroline-5-carboxylate reductase	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	proline	10.641726715672796
WP_017417943.1	WP_149169593.1	gene-ACSAL1_RS09585	5.651574961305816	gene-ACZ0AN_RS10680	4.669124185727576	conserved_up	proB	glutamate 5-kinase	proB	glutamate 5-kinase	K00931	glutamate 5-kinase [EC:2.7.2.11]	proline;transport	10.320699147033391
WP_017418586.1	WP_023855487.1	gene-ACSAL1_RS18425	-7.831193880278129	gene-ACZ0AN_RS15450	-2.0062871553606927	conserved_down	bglS	beta-glucanase	bglS	beta-glucanase	K01216	licheninase [EC:3.2.1.73]	glycine_betaine_choline	9.837481035638822
WP_209388296.1	WP_044803292.1	gene-ACSAL1_RS09340	-3.931865011062726	gene-ACZ0AN_RS17980	-5.604333991616759	conserved_down	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC	K15924	glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136]	glycine_betaine_choline	9.536199002679485
WP_007407578.1	WP_145654112.1	gene-ACSAL1_RS17230	-4.6499084786959255	gene-ACZ0AN_RS02960	-4.830026554918872	conserved_down	xynA	endo-1%2C4-beta-xylanase XynA		glycoside hydrolase family 11 protein			glycine_betaine_choline	9.479935033614797
WP_209387532.1	WP_249726888.1	gene-ACSAL1_RS14375	8.191428088473684	gene-ACZ0AN_RS16455	1.077519362569429	conserved_up	gbsB	choline dehydrogenase		iron-containing alcohol dehydrogenase	K11440	choline dehydrogenase [EC:1.1.1.1]	glycine_betaine_choline	9.268947451043113
WP_007408914.1	WP_197407002.1	gene-ACSAL1_RS03500	5.365230475091405	gene-ACZ0AN_RS03785	3.515375190125015	conserved_up	putP	sodium/proline symporter PutP	putP	sodium/proline symporter PutP	K11928	sodium/proline symporter	proline;transport	8.88060566521642
