gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	gene_symbol	product	neg_log10_padj	deg_class	label
gene-ACZ0AN_RS00265	3535.3453718302035	3.740508996928314	0.07976017539424375	46.896950494899045	0	0	WP_085959887.1	NA	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	Inf	Up	NA
gene-ACZ0AN_RS00340	18004.042929374067	3.4240345525107294	0.0685339127891381	49.96117123861929	0	0	WP_145645983.1	NA	50S ribosomal protein L25/general stress protein Ctc	Inf	Up	NA
gene-ACZ0AN_RS01140	2143.006249849845	-6.396216712692125	0.14937088189614253	-42.82104136694734	0	0	WP_023857699.1	NA	lantibiotic protection ABC transporter ATP-binding protein	Inf	Down	NA
gene-ACZ0AN_RS01145	1180.0919560952989	-5.471062351983153	0.14580113970449823	-37.52413981860226	0	0	WP_026580431.1	NA	lantibiotic immunity ABC transporter MutE/EpiE family permease subunit	Inf	Down	NA
gene-ACZ0AN_RS01240	17645.72925060614	7.017517169470331	0.08499046915935479	82.56828370146633	0	0	WP_039073125.1	NA	hypothetical protein	Inf	Up	NA
gene-ACZ0AN_RS01385	6540.083544858949	7.78888205645094	0.1299092303707365	59.95634054811144	0	0	WP_003178548.1	NA	DUF2512 family protein	Inf	Up	NA
gene-ACZ0AN_RS01455	3066.581289358153	-3.2958388997769426	0.07596377504059856	-43.3869814660408	0	0	WP_020449989.1	NA	GNAT family N-acetyltransferase	Inf	Down	NA
gene-ACZ0AN_RS01590	17326.818449286286	-4.2040370838771794	0.05934579294130744	-70.83968172832304	0	0	WP_023857769.1	NA	PPC domain-containing protein	Inf	Down	NA
gene-ACZ0AN_RS01595	13557.733270929684	-3.571231651717359	0.06892994801511594	-51.80957993663666	0	0	WP_020450016.1	NA	DUF4885 family protein	Inf	Down	NA
gene-ACZ0AN_RS01775	8639.667134481859	-7.262461684729898	0.1030784591491054	-70.4556678929841	0	0	WP_023857791.1	NA	trypsin-like serine peptidase	Inf	Down	NA
gene-ACZ0AN_RS01780	9659.846722375418	8.815510035328394	0.13699078736887454	64.35111590088833	0	0	WP_039073164.1	NA	glucose 1-dehydrogenase	Inf	Up	NA
gene-ACZ0AN_RS01790	2975.238339328423	-2.971389081013441	0.07141612542082215	-41.60669685598906	0	0	WP_079289379.1	NA	YcdB/YcdC domain-containing protein	Inf	Down	NA
gene-ACZ0AN_RS02145	1602.622289851812	-3.971159432036198	0.09890354484844029	-40.151841252218006	0	0	WP_463315620.1	tcyA	cystine ABC transporter substrate-binding lipoprotein TcyA	Inf	Down	NA
gene-ACZ0AN_RS02280	10737.481142899374	-2.9012929042970894	0.05967675409783818	-48.616801435622826	0	0	WP_020450153.1	NA	beta-galactosidase	Inf	Down	NA
gene-ACZ0AN_RS02385	8389.239640017584	-3.79469011490344	0.07324142828838481	-51.81070609330582	0	0	WP_023855630.1	NA	siderophore ABC transporter substrate-binding protein	Inf	Down	NA
gene-ACZ0AN_RS02415	2001.420370250923	4.388966708918648	0.0914452032272942	47.99559248624041	0	0	WP_026580551.1	NA	ArsR/SmtB family transcription factor	Inf	Up	NA
gene-ACZ0AN_RS02435	6990.344162196162	3.21378818233063	0.0633157780909656	50.758093467846024	0	0	WP_079289571.1	gabD	succinate-semialdehyde dehydrogenase	Inf	Up	NA
gene-ACZ0AN_RS02475	3573.245204754717	4.882820573939773	0.09434860742625968	51.7529691973043	0	0	WP_023857922.1	nirB	nitrite reductase large subunit NirB	Inf	Up	NA
gene-ACZ0AN_RS02595	16847.04232348694	12.077316490850572	0.28995469153256853	41.65242654642135	0	0	WP_023857901.1	NA	SDR family oxidoreductase	Inf	Up	NA
gene-ACZ0AN_RS02600	14619.424439032276	11.662828138777206	0.270826294230867	43.06386930375077	0	0	WP_020450216.1	NA	D-lyxose/D-mannose family sugar isomerase	Inf	Up	NA
gene-ACZ0AN_RS02610	18549.657573372115	8.849052975136358	0.11088721181763549	79.80228585501332	0	0	WP_463315628.1	NA	pyridoxamine 5'-phosphate oxidase family protein	Inf	Up	NA
gene-ACZ0AN_RS02645	1557.883693447737	-5.2347449755882725	0.13275877752054438	-39.43049998918676	0	0	WP_039073231.1	NA	prephenate dehydrogenase dimerization domain-containing protein	Inf	Down	NA
gene-ACZ0AN_RS02650	4161.036859888909	-5.408054374109166	0.10163907198759688	-53.208419442959055	0	0	WP_198941267.1	pabB	aminodeoxychorismate synthase component I	Inf	Down	NA
gene-ACZ0AN_RS02660	32664.24048612898	8.20920014846824	0.07906344640141563	103.83053765186304	0	0	WP_020450230.1	NA	pyruvate oxidase	Inf	Up	NA
gene-ACZ0AN_RS02685	34224.12075063778	11.719267466991912	0.18629788693031785	62.90606758935137	0	0	WP_105979276.1	NA	GlsB/YeaQ/YmgE family stress response membrane protein	Inf	Up	NA
gene-ACZ0AN_RS02700	3709.286984911994	9.37528165286219	0.2473443158988532	37.90376835138607	0	0	WP_020450238.1	NA	DUF2188 domain-containing protein	Inf	Up	NA
gene-ACZ0AN_RS02725	205958.4783060591	10.630645942860562	0.07944585608392774	133.8099488994139	0	0	WP_023857883.1	gsiB	glucose starvation-inducible protein GsiB	Inf	Up	NA
gene-ACZ0AN_RS02850	4233.156768652289	4.0520178241526486	0.08511218269374665	47.607965110385514	0	0	WP_020450262.1	NA	anti-sigma factor antagonist	Inf	Up	NA
gene-ACZ0AN_RS02855	4417.48573333385	3.3043953750283057	0.07390531087515237	44.71120323964801	0	0	WP_020450263.1	rsbW	anti-sigma B factor RsbW	Inf	Up	NA
gene-ACZ0AN_RS02860	7092.656713704542	3.635908547353198	0.06592535596781612	55.15189859768372	0	0	WP_023857858.1	sigB	RNA polymerase sigma factor SigB	Inf	Up	NA
gene-ACZ0AN_RS02865	7156.829224780025	3.2811111827947617	0.06495432975929452	50.51412577042653	0	0	WP_023857857.1	NA	PP2C family serine/threonine-protein phosphatase	Inf	Up	NA
gene-ACZ0AN_RS03245	2695.2646273992623	-3.185139683567222	0.07921642694152183	-40.20807055484232	0	0	WP_003179248.1	groES	co-chaperone GroES	Inf	Down	NA
