ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category	score
WP_021495102.1	WP_023857901.1	gene-ACSAL1_RS02195	1.3980793149702586	gene-ACZ0AN_RS02595	12.077316490850572	conserved_up		SDR family oxidoreductase		SDR family oxidoreductase			oxidative_stress	13.475395805820831
WP_209387434.1	WP_035338373.1	gene-ACSAL1_RS11760	3.463128435122114	gene-ACZ0AN_RS13305	8.246250521331486	conserved_up		STAS domain-containing protein		STAS domain-containing protein	K17763	rsbT co-antagonist protein RsbR	unclassified	11.7093789564536
WP_007408966.1	WP_020450525.1	gene-ACSAL1_RS03815	3.199668833549508	gene-ACZ0AN_RS04095	7.526635975934568	conserved_up		anion permease		anion permease	K03319	divalent anion:Na+ symporter, DASS family	sodium_homeostasis;transport	10.726304809484075
WP_209387533.1	WP_245117755.1	gene-ACSAL1_RS14380	9.031164912910793	gene-ACZ0AN_RS16460	1.6817709586311131	conserved_up	betB	betaine-aldehyde dehydrogenase	betB	betaine-aldehyde dehydrogenase	K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	glycine_betaine_choline	10.712935871541905
WP_021494173.1	WP_075213795.1	gene-ACSAL1_RS09590	6.6109245653865	gene-ACZ0AN_RS10685	4.030802150286297	conserved_up	proC	pyrroline-5-carboxylate reductase	proC	pyrroline-5-carboxylate reductase	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	proline	10.641726715672796
WP_017419351.1	WP_039073164.1	gene-ACSAL1_RS01500	1.8156798797031728	gene-ACZ0AN_RS01780	8.815510035328394	conserved_up		glucose 1-dehydrogenase		glucose 1-dehydrogenase	K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	unclassified	10.631189915031566
WP_017417943.1	WP_149169593.1	gene-ACSAL1_RS09585	5.651574961305816	gene-ACZ0AN_RS10680	4.669124185727576	conserved_up	proB	glutamate 5-kinase	proB	glutamate 5-kinase	K00931	glutamate 5-kinase [EC:2.7.2.11]	proline;transport	10.320699147033391
WP_003155609.1	WP_003179731.1	gene-ACSAL1_RS03900	4.082429677204219	gene-ACZ0AN_RS04165	6.181953440595755	conserved_up		YflJ family protein		DUF2639 domain-containing protein			unclassified	10.264383117799973
WP_014305189.1	WP_059230589.1	gene-ACSAL1_RS09710	6.246388519655356	gene-ACZ0AN_RS10995	3.5988982712916973	conserved_up		N-acetyltransferase		GNAT family protein			unclassified	9.845286790947053
WP_014418377.1	WP_145645269.1	gene-ACSAL1_RS11740	2.714214466020032	gene-ACZ0AN_RS13295	6.946677963347863	conserved_up	comGB	competence type IV pilus assembly protein ComGB	comGB	competence type IV pilus assembly protein ComGB	K02244	competence protein ComGB	unclassified	9.660892429367895
WP_014305920.1	WP_003185659.1	gene-ACSAL1_RS16545	5.571561228131301	gene-ACZ0AN_RS18630	4.058028702998095	conserved_up	swrA	swarming motility protein SwrAA	swrA	swarming motility protein SwrAA			unclassified	9.629589931129395
WP_209387433.1	WP_023857118.1	gene-ACSAL1_RS11755	1.42731643666065	gene-ACZ0AN_RS19315	8.085635229238775	conserved_up		hemolysin family protein		hemolysin family protein	K03699	magnesium and cobalt exporter, CNNM family	unclassified	9.512951665899426
WP_209387432.1	WP_025811157.1	gene-ACSAL1_RS11745	2.427555372990398	gene-ACZ0AN_RS13300	6.881199651120326	conserved_up	comGA	competence type IV pilus ATPase ComGA	comGA	competence type IV pilus ATPase ComGA	K02243	competence protein ComGA	unclassified	9.308755024110724
WP_003154253.1	WP_020451394.1	gene-ACSAL1_RS08280	5.466398898808754	gene-ACZ0AN_RS08980	3.809036764196883	conserved_up	fliJ	flagellar export protein FliJ	fliJ	flagellar export protein FliJ	K02413	flagellar protein FliJ	unclassified	9.275435663005638
WP_209387532.1	WP_249726888.1	gene-ACSAL1_RS14375	8.191428088473684	gene-ACZ0AN_RS16455	1.077519362569429	conserved_up	gbsB	choline dehydrogenase		iron-containing alcohol dehydrogenase	K11440	choline dehydrogenase [EC:1.1.1.1]	glycine_betaine_choline	9.268947451043113
WP_209387431.1	WP_026579312.1	gene-ACSAL1_RS11730	2.675474075409988	gene-ACZ0AN_RS13285	6.386369695107744	conserved_up	comGD	competence type IV pilus minor pilin ComGD	comGD	competence type IV pilus minor pilin ComGD	K02246	competence protein ComGD	unclassified	9.061843770517733
WP_007408914.1	WP_197407002.1	gene-ACSAL1_RS03500	5.365230475091405	gene-ACZ0AN_RS03785	3.515375190125015	conserved_up	putP	sodium/proline symporter PutP	putP	sodium/proline symporter PutP	K11928	sodium/proline symporter	proline;transport	8.88060566521642
WP_003153118.1	WP_020452153.1	gene-ACSAL1_RS11635	3.617492440935315	gene-ACZ0AN_RS13175	5.094380867120173	conserved_up		patatin-like phospholipase family protein		patatin-like phospholipase family protein	K07001	NTE family protein	unclassified	8.711873308055488
WP_032875437.1	WP_020450536.1	gene-ACSAL1_RS19015	5.85197212620206	gene-ACZ0AN_RS04150	2.6438586654010647	conserved_up		autorepressor SdpR family transcription factor		autorepressor SdpR family transcription factor	K26993	ArsR family transcriptional regulator, repressor of sdpIR and other operons	regulation	8.495830791603126
WP_021494311.1	WP_229078638.1	gene-ACSAL1_RS11720	2.706660024215494	gene-ACZ0AN_RS13275	5.721775366675209	conserved_up	comGF	competence type IV pilus minor pilin ComGF	comGF	competence type IV pilus minor pilin ComGF	K02248	competence protein ComGF	unclassified	8.428435390890703
WP_017418119.1	WP_020452123.1	gene-ACSAL1_RS11450	3.372993806845316	gene-ACZ0AN_RS13010	5.0403480012767234	conserved_up		N-acetylmuramoyl-L-alanine amidase family protein		N-acetylmuramoyl-L-alanine amidase family protein	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	unclassified	8.41334180812204
WP_014416828.1	WP_026579874.1	gene-ACSAL1_RS01450	6.58147508676219	gene-ACZ0AN_RS06855	1.7905927468398657	conserved_up	lmrA	transcriptional regulator LmrA		TetR/AcrR family transcriptional regulator	K18939	TetR/AcrR family transcriptional regulator, lmrAB and yxaGH operons repressor	regulation	8.372067833602056
WP_209387790.1	WP_463315585.1	gene-ACSAL1_RS19225	7.241561841560755	gene-ACZ0AN_RS18365	1.092917446324435	conserved_up		glycoside hydrolase family 32 protein		glycoside hydrolase family 32 protein	K01212	levanase [EC:3.2.1.65]	unclassified	8.334479287885191
WP_003151759.1	WP_023856262.1	gene-ACSAL1_RS15565	4.899877917679287	gene-ACZ0AN_RS17700	3.2250492063192286	conserved_up		metal-dependent hydrolase		metal-dependent hydrolase	K07038	inner membrane protein	unclassified	8.124927123998516
WP_209387661.1	WP_463315589.1	gene-ACSAL1_RS16860	5.0109203121106445	gene-ACZ0AN_RS19025	3.086041239424036	conserved_up		C40 family peptidase		NlpC/P60 family protein	K13694	murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]	unclassified	8.09696155153468
WP_017418880.1	WP_020453586.1	gene-ACSAL1_RS16015	4.534655238283672	gene-ACZ0AN_RS21285	3.4380819760066843	conserved_up	gntK	gluconokinase	gntK	gluconokinase	K25031	gluconokinase [EC:2.7.1.12]	unclassified	7.9727372142903565
WP_014418920.1	WP_020453014.1	gene-ACSAL1_RS16045	4.560901559848377	gene-ACZ0AN_RS18205	3.1969279971088773	conserved_up		(Fe-S)-binding protein		(Fe-S)-binding protein	K18928	L-lactate dehydrogenase complex protein LldE	unclassified	7.757829556957255
WP_003151337.1	WP_023857157.1	gene-ACSAL1_RS16880	4.862568613443718	gene-ACZ0AN_RS19045	2.7795226158647184	conserved_up	pgsB	poly-gamma-glutamate synthase PgsB	pgsB	poly-gamma-glutamate synthase PgsB	K01932	gamma-polyglutamate synthase [EC:6.3.2.-]	poly_gamma_glutamate;transport	7.642091229308436
WP_191389150.1	WP_144498830.1	gene-ACSAL1_RS14445	4.679494986978738	gene-ACZ0AN_RS16605	2.9078278432493185	conserved_up		methyl-accepting chemotaxis protein	tlpB	methyl-accepting chemotaxis protein TlpB	K03406	methyl-accepting chemotaxis protein	unclassified	7.587322830228056
WP_209388036.1	WP_023856470.1	gene-ACSAL1_RS04595	6.002845814897035	gene-ACZ0AN_RS04960	1.4812951197635589	conserved_up	rpsN	30S ribosomal protein S14	rpsN	30S ribosomal protein S14	K02954	small subunit ribosomal protein S14	unclassified	7.484140934660594
WP_209388138.1	WP_249726576.1	gene-ACSAL1_RS06370	6.143813365238279	gene-ACZ0AN_RS06895	1.2365303135077437	conserved_up		phage portal protein		phage portal protein			unclassified	7.380343678746023
WP_007408889.1	WP_035338016.1	gene-ACSAL1_RS03350	5.105124616391608	gene-ACZ0AN_RS20660	2.244147704505921	conserved_up		sigma-70 family RNA polymerase sigma factor		sigma-70 family RNA polymerase sigma factor	K03088	RNA polymerase sigma-70 factor, ECF subfamily	unclassified	7.349272320897529
WP_029973465.1	WP_035338769.1	gene-ACSAL1_RS08295	4.211365065011884	gene-ACZ0AN_RS08995	3.1360969960722347	conserved_up	flgD	flagellar hook assembly protein FlgD	flgD	flagellar hook assembly protein FlgD	K02389	flagellar basal-body rod modification protein FlgD	unclassified	7.347462061084118
WP_015388236.1	WP_020451395.1	gene-ACSAL1_RS08285	4.313426083885517	gene-ACZ0AN_RS08985	3.0315102328406582	conserved_up		MotE family protein		MotE family protein			unclassified	7.344936316726175
WP_007611430.1	WP_020451393.1	gene-ACSAL1_RS08275	3.9940696941530094	gene-ACZ0AN_RS08975	3.2624271727740424	conserved_up	fliI	flagellar protein export ATPase FliI	fliI	flagellar protein export ATPase FliI	K02412	flagellum-specific ATP synthase [EC:7.4.2.8]	unclassified	7.256496866927051
WP_007409777.1	WP_020451389.1	gene-ACSAL1_RS08255	2.7675974423991145	gene-ACZ0AN_RS08955	4.422529013607652	conserved_up	fliE	flagellar hook-basal body complex protein FliE	fliE	flagellar hook-basal body complex protein FliE	K02408	flagellar hook-basal body complex protein FliE	unclassified	7.190126456006766
WP_209388236.1	WP_020451390.1	gene-ACSAL1_RS08260	3.4725054313654105	gene-ACZ0AN_RS08960	3.6796911097163822	conserved_up	fliF	flagellar basal-body MS-ring/collar protein FliF	fliF	flagellar basal-body MS-ring/collar protein FliF	K02409	flagellar M-ring protein FliF	unclassified	7.152196541081793
WP_007410036.1	WP_020452927.1	gene-ACSAL1_RS15555	4.5809893873153245	gene-ACZ0AN_RS17690	2.407085786537572	conserved_up		amino acid permease		amino acid permease	K03758	arginine:ornithine antiporter / lysine permease	sodium_homeostasis;transport	6.988075173852897
WP_007610880.1	WP_262352115.1	gene-ACSAL1_RS06695	5.174352956865405	gene-ACZ0AN_RS07355	1.7804568924426	conserved_up		organic hydroperoxide resistance protein		organic hydroperoxide resistance protein	K04063	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]	oxidative_stress	6.954809849308005
WP_209387624.1	WP_023856361.1	gene-ACSAL1_RS16415	3.1997713131795784	gene-ACZ0AN_RS18515	3.7541233757185535	conserved_up	hisG	ATP phosphoribosyltransferase	hisG	ATP phosphoribosyltransferase	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]	unclassified	6.9538946888981314
WP_209388237.1	WP_020451396.1	gene-ACSAL1_RS08290	4.075032889030868	gene-ACZ0AN_RS08990	2.8385944950647946	conserved_up		flagellar hook-length control protein FliK		flagellar hook-length control protein FliK	K02414	flagellar hook-length control protein FliK	unclassified	6.913627384095662
WP_014417297.1	WP_043054059.1	gene-ACSAL1_RS04885	2.8475721498146105	gene-ACZ0AN_RS02430	3.9548439060205247	conserved_up	bcaP	branched-chain amino acid transporter BcaP		APC family permease	K03294	basic amino acid/polyamine antiporter, APA family	sodium_homeostasis;transport	6.802416055835135
WP_209387625.1	WP_249726791.1	gene-ACSAL1_RS16420	3.210608356380664	gene-ACZ0AN_RS18520	3.590385817725823	conserved_up		ATP phosphoribosyltransferase regulatory subunit		ATP phosphoribosyltransferase regulatory subunit	K02502	ATP phosphoribosyltransferase regulatory subunit	regulation	6.800994174106487
WP_003154234.1	WP_020451404.1	gene-ACSAL1_RS08340	4.272276822287616	gene-ACZ0AN_RS09040	2.4864931620511546	conserved_up	fliQ	flagellar biosynthesis protein FliQ	fliQ	flagellar biosynthesis protein FliQ	K02420	flagellar biosynthesis protein FliQ	unclassified	6.758769984338771
WP_003151340.1	WP_003185831.1	gene-ACSAL1_RS16875	4.035579409374109	gene-ACZ0AN_RS19040	2.6565147089535497	conserved_up	pgsC	poly-gamma-glutamate biosynthesis protein PgsC	pgsC	poly-gamma-glutamate biosynthesis protein PgsC	K22116	gamma-polyglutamate biosynthesis protein CapC	poly_gamma_glutamate;transport	6.692094118327659
WP_209387737.1	WP_095291296.1	gene-ACSAL1_RS18400	3.067544482103943	gene-ACZ0AN_RS20755	3.599884255488605	conserved_up		NupC/NupG family nucleoside CNT transporter		nucleoside transporter C-terminal domain-containing protein	K16323	purine nucleoside transport protein	unclassified	6.667428737592548
WP_038458013.1	WP_020451392.1	gene-ACSAL1_RS08270	3.5434053862178323	gene-ACZ0AN_RS08970	3.096073047684985	conserved_up	fliH	flagellar assembly protein FliH	fliH	flagellar assembly protein FliH	K02411	flagellar assembly protein FliH	unclassified	6.639478433902817
WP_003154260.1	WP_020451387.1	gene-ACSAL1_RS08245	2.3792075422791297	gene-ACZ0AN_RS08945	4.17008925642035	conserved_up	flgB	flagellar basal body rod protein FlgB	flgB	flagellar basal body rod protein FlgB	K02387	flagellar basal-body rod protein FlgB	unclassified	6.54929679869948
WP_007613482.1	WP_025809768.1	gene-ACSAL1_RS14880	4.0451280043721525	gene-ACZ0AN_RS17015	2.463485757789753	conserved_up		Na+/H+ antiporter NhaC family protein		Na+/H+ antiporter family protein	K07084	putative amino acid transporter	sodium_homeostasis	6.508613762161906
